RNAAccession	ApprovedSymbol
NM_001160160	SCN5A
NM_001160161	SCN5A
NM_198056	SCN5A
NM_001169109	SCO2
NM_001169110	SCO2
NM_001169111	SCO2
NM_005138	SCO2
NM_001294332	SDHA
NM_004168	SDHA
NM_000337	SGCD
NM_001128209	SGCD
NM_172244	SGCD
NM_001269039	SHOC2
NM_007373	SHOC2
NM_002635	SLC25A3
NM_005888	SLC25A3
NM_213611	SLC25A3
NM_005633	SOS1
NM_152594	SPRED1
NM_033071	SYNE1
NM_182961	SYNE1
NM_015180	SYNE2
NM_182910	SYNE2
NM_182913	SYNE2
NM_182914	SYNE2
NM_000116	TAZ
NM_181311	TAZ
NM_181312	TAZ
NM_181313	TAZ
NM_003673	TCAP
NM_003239	TGFB3
NM_024334	TMEM43
NM_001040613	TMEM70
NM_017866	TMEM70
NM_001032283	TMPO
NM_001032284	TMPO
NM_003276	TMPO
NM_003280	TNNC1
NM_000363	TNNI3
NM_000364	TNNT2
NM_001001430	TNNT2
NM_001001431	TNNT2
NM_001001432	TNNT2
NM_001276345	TNNT2
NM_001276346	TNNT2
NM_001276347	TNNT2
NM_000366	TPM1
NM_001018004	TPM1
NM_001018005	TPM1
NM_001018006	TPM1
NM_001018007	TPM1
NM_001018008	TPM1
NM_001018020	TPM1
NM_001301244	TPM1
NM_001301289	TPM1
NM_001172695	TSFM
NM_001172696	TSFM
NM_001172697	TSFM
NM_005726	TSFM
NM_001256850	TTN
NM_001267550	TTN
NM_003319	TTN
NM_133378	TTN
NM_133379	TTN
NM_133432	TTN
NM_133437	TTN
NM_000371	TTR
NM_001282512	TXNRD2
NM_006440	TXNRD2
NM_003373	VCL
NM_014000	VCL
NM_021083	XK
