Transcript	GeneName
NM_145716	SSBP3
NM_006252	PRKAA2
NM_003713	PPAP2B
NM_000066	C8B
NM_001004303	C1orf168
NM_145243	OMA1
NM_015888	HOOK1
NM_176877	INADL
NM_181712	KANK4
NM_001271999	DOCK7
NR_038252	LINC00466
NM_032852	ATG4C
NM_001172818	PGM1
NM_005012	ROR1
NM_203464	AK4
NM_002227	JAK1
NM_018211	RAVER2
NM_001256864	DNAJC6
NM_002600	PDE4B
NM_144701	IL23R
NM_152665	TCTEX1D1
NM_015139	SLC35D1
NM_001018067	SERBP1
NM_024763	WDR78
NM_001114120	DEPDC1
NM_018841	GNG12
NR_040077	GNG12-AS1
NM_001002292	WLS
NR_023916	PIN1P1
NM_017768	LRRC40
NM_030816	ANKRD13C
NR_046217	ZRANB2-AS2
NM_198718	PTGER3
NM_001112808	FPGT-TNNI3K
NM_001105659	LRRIQ3
NM_001002912	ERICH3
NM_002440	MSH4
NM_152697	SLC44A5
NM_030965	ST6GALNAC5
NM_015534	ZZZ3
NM_174858	AK5
NM_001270384	FAM73A
NM_017655	GIPC2
NM_144573	NEXN
NM_022159	ADGRL4
NR_027310	MGC27382
NM_012302	ADGRL2
NM_182948	PRKACB
NM_024686	TTLL7
NR_049805	MIR548AP
NM_001134664	SAMD13
NM_001010971	SAMD13
NM_153259	MCOLN2
NM_012152	LPAR3
NM_145172	WDR63
NM_012137	DDAH1
NM_198077	C1orf52
NM_006536	CLCA2
NM_152890	COL24A1
NM_012262	HS2ST1
NM_001134476	LRRC8B
NM_052941	GBP4
NM_002053	GBP1
NM_006256	PKN2
NM_018103	LRRC8D
NM_001017975	HFM1
NM_024813	RPAP2
NM_005665	EVI5
NM_001164473	FNBP1L
NM_001261409	BCAR3
NM_007358	MTF2
NM_206886	CCDC18
NM_001114106	SLC44A3
NM_002858	ABCD3
NM_000350	ABCA4
NR_033966	FLJ31662
NM_021190	PTBP2
NM_000110	DPYD
NR_046590	DPYD-AS1
NR_033940	LOC100129620
NR_046088	LOC729987
NM_015976	SNX7
NM_014839	LPPR4
NM_017734	PALMD
NM_033055	HIAT1
NM_001078	VCAM1
NM_033312	CDC14A
NM_058170	OLFM3
NM_001854	COL11A1
NM_001008218	AMY1B
NM_017619	RNPC3
NM_001008219	AMY1C
NM_006113	VAV3
NR_046653	VAV3-AS1
NM_007269	STXBP3
NM_020775	KIAA1324
NM_001010985	MYBPHL
NM_013296	GPSM2
NM_001142550	WDR47
NM_000561	GSTM1
NM_022768	RBM15
NM_004978	KCNC4
NM_178454	DRAM2
NM_004980	KCND3
NM_018704	CTTNBP2NL
NM_017744	ST7L
NM_001142782	MAGI3
NM_014813	LRIG2
NM_205848	SYT6
NM_001256404	DENND2C
NM_001010922	BCL2L15
NR_037864	AP4B1-AS1
NM_015906	TRIM33
NM_003176	SYCP1
NM_001232	CASQ2
NM_002506	NGF
NM_005725	TSPAN2
NM_018420	SLC22A15
NM_001767	CD2
NM_001542	IGSF3
NM_000701	ATP1A1
NM_001256106	CD101
NM_024626	VTCN1
NM_006699	MAN1A2
NM_206996	SPAG17
NM_016527	HAO2
NM_015836	WARS2
NM_001100910	FAM72B
NR_024510	LINC00623
NR_024584	LINC00623
NM_203458	NOTCH2NL
NM_153713	LIX1L
NM_004892	SEC22B
NM_001198834	PDE4DIP
NM_014455	RNF115
NM_001461	FMO5
NM_016334	GPR89B
NR_038423	LINC00624
NM_001101663	NBPF11
NM_004326	BCL9
NM_001143883	PPIAL4A
NM_025150	TARS2
NM_004436	ENSA
NM_004079	CTSS
NM_007259	VPS45
NM_015203	RPRD2
NM_020832	ZNF687
NM_030918	SNX27
NM_015100	POGZ
NM_005060	RORC
NM_020127	TUFT1
NM_207308	NUP210L
NM_020699	GATAD2B
NM_001206612	CHTOP
NM_000565	IL6R
NM_020524	PBXIP1
NM_001204087	KCNN3
NM_004952	EFNA3
NM_018489	ASH1L
NM_170707	LMNA
NM_018116	MSTO1
NR_024117	MSTO2P
NM_152280	SYT11
NM_144702	LRRC71
NM_178229	IQGAP3
NM_005973	PRCC
NM_031282	FCRL4
NM_005894	CD5L
NM_003126	SPTA1
NM_001206567	IFI16
NM_001004310	FCRL6
NM_001135050	IGSF9
NM_002241	KCNJ10
NM_001231	CASQ1
NM_001098398	COPA
NM_001166663	CD244
NM_012394	PFDN2
NM_007348	ATF6
NM_014697	NOS1AP
NM_031423	NUF2
NM_006182	DDR2
NR_026744	LOC400794
NM_001174069	LMX1A
NM_006917	RXRG
NR_002925	FMO9P
NM_001017961	FAM78B
NM_012474	UCK2
NM_052862	RCSD1
NM_002697	POU2F1
NM_032858	MAEL
NM_001143674	MPC2
NM_001198956	DCAF6
NM_001937	DPT
NM_152902	TIPRL
NM_001677	ATP1B1
NM_003666	BLZF1
NM_013330	NME7
NM_022716	PRRX1
NM_014970	KIFAP3
NM_001136107	METTL11B
NM_002022	FMO4
NM_003762	VAMP4
NM_001460	FMO2
NM_018122	DARS2
NM_172071	RC3H1
NM_178527	SLC9C2
NR_037845	LOC100506023
NM_014412	CACYBP
NM_014857	RABGAP1L
NM_003285	TNR
NM_004319	ASTN1
NM_020318	PAPPA2
NM_152663	RALGPS2
NM_014864	FAM20B
NM_144696	AXDND1
NM_014810	CEP350
NM_022347	TOR1AIP2
NM_145034	TOR1AIP2
NM_033343	LHX4
NM_001199085	TDRD5
NM_004736	XPR1
NM_001531	MR1
NM_001205293	CACNA1E
NM_002293	LAMC1
NM_001357	DHX9
NM_015039	NMNAT2
NM_052965	TSEN15
NM_015149	RGL1
NM_052966	FAM129A
NM_001105518	SWT1
NM_025191	EDEM3
NM_017847	C1orf27
NR_031642	MIR548F1
NM_031935	HMCN1
NM_024420	PLA2G4A
NR_033922	LOC440704
NM_199051	BRINP3
NM_130782	RGS18
NM_024529	CDC73
NM_197962	GLRX2
NM_198503	KCNT2
NM_201253	CRB1
NM_001195215	DENND1B
NM_002838	PTPRC
NR_040073	MIR181A1HG
NM_205860	NR5A2
NM_203459	CAMSAP2
NM_014875	KIF14
NM_001164586	IGFN1
NM_000069	CACNA1S
NM_001017403	LGR6
NM_004433	ELF3
NM_020443	NAV1
NM_138795	ARL8A
NM_001193571	CSRP1
NM_018085	IPO9
NM_015053	PPFIA4
NM_177402	SYT2
NM_006618	KDM5B
NM_014827	ZC3H11A
NM_005686	SOX13
NM_001684	ATP2B4
NM_014935	PLEKHA6
NM_201630	LRRN2
NM_001199050	LEMD1
NM_001005388	NFASC
NM_015375	DSTYK
NM_005449	FCMR
NM_182663	RASSF5
NM_175710	CR1L
NM_000651	CR1
NM_025179	PLXNA2
NM_006147	IRF6
NM_001146261	SYT14
NM_172362	KCNH1
NM_014873	LPGAT1
NM_015434	INTS7
NM_006243	PPP2R5A
NM_012424	RPS6KC1
NM_005401	PTPN14
NM_016343	CENPF
NM_001270616	PROX1
NM_014217	KCNK2
NM_016121	KCTD3
NM_001438	ESRRG
NM_018040	GPATCH2
NM_138796	SPATA17
NM_016052	RRP15
NR_038845	LYPLAL1-AS1
NM_018650	MARK1
NM_012414	RAB3GAP2
NM_022746	MARC1
NM_007207	DUSP10
NM_198551	MIA3
NM_032890	DISP1
NM_001031685	TP53BP2
NM_001143962	CAPN8
NM_017982	SUSD4
NM_152495	CNIH3
NM_003133	SRP9
NM_001008493	ENAH
NM_022735	ACBD3
NM_003607	CDC42BPA
NM_020247	ADCK3
NM_002221	ITPKB
NM_001003665	C1orf95
NM_033131	WNT3A
NM_178549	ZNF678
NM_053052	SNAP47
NM_001271223	OBSCN
NM_001258311	PGBD5
NM_014777	URB2
NM_004481	GALNT2
NM_007357	COG2
NM_024525	TTC13
NM_001004342	TRIM67
NM_175876	EXOC8
NM_001164537	DISC1
NM_014801	PCNXL2
NM_173508	SLC35F3
NM_152490	B3GALNT2
NM_016374	ARID4B
NM_001079515	TBCE
NM_004485	GNG4
NM_014765	TOMM20
NM_002508	NID1
NM_003272	GPR137B
NM_006499	LGALS8
NM_145861	EDARADD
NM_018072	HEATR1
NM_001035	RYR2
NM_000740	CHRM3
NM_020066	FMN2
NM_003679	KMO
NM_144625	WDR64
NM_152666	PLD5
NM_006642	SDCCAG8
NM_005465	AKT3
NM_014812	CEP170
NR_033883	LOC339529
NM_032328	EFCAB2
NM_001126	ADSS
NM_016076	DESI2
NM_001130957	C1orf101
NM_152609	CNST
NM_033213	ZNF670
NM_003431	ZNF124
NM_015446	AHCTF1
NM_175911	OR2L13
NM_001079821	NLRP3
NM_145278	GCSAML
NM_001005484	OR4F5
NR_024540	WASH7P
NR_026820	FAM138F
NR_046018	DDX11L1
NR_039983	LOC729737
NR_028327	LOC100133331
NM_001005277	OR4F16
NR_033908	LOC100288069
NR_024321	LINC00115
NM_032129	PLEKHN1
NM_152486	SAMD11
NM_198317	KLHL17
NM_015658	NOC2L
NR_026874	LOC100130417
NR_027055	FAM41C
NM_001205252	RNF223
NM_005101	ISG15
NM_198576	AGRN
NM_021170	HES4
NR_029639	MIR200B
NM_001130045	TTLL10
NM_016176	SDF4
NM_080605	B3GALT6
NM_003327	TNFRSF4
NR_029834	MIR200A
NR_029957	MIR429
NR_038869	LINC01342
NM_148901	TNFRSF18
NM_030649	ACAP3
NM_032348	MXRA8
NM_001127230	AURKAIP1
NM_001130413	SCNN1D
NM_152228	TAS1R3
NM_001029885	CPTP
NM_194315	UBE2J2
NM_017871	CPSF3L
NM_004421	DVL1
NM_153339	PUSL1
NM_001039211	ATAD3C
NM_001146685	TMEM88B
NM_022834	VWA1
NM_030937	CCNL2
NM_031921	ATAD3B
NM_001145210	ANKRD65
NM_017971	MRPL20
NR_015434	LOC148413
NM_014188	SSU72
NR_002946	MMP23A
NM_001114748	TMEM240
NM_018188	ATAD3A
NM_006983	MMP23B
NM_080875	MIB2
NM_001242659	C1orf233
NM_001110781	SLC35E2B
NM_182838	SLC35E2
NM_002074	GNB1
NM_000815	GABRD
NM_178545	TMEM52
NM_001080484	CFAP74
NM_138705	CALML6
NM_001256945	C1orf86
NM_024848	MORN1
NR_024489	LOC100129534
NM_153818	PEX10
NM_007033	RER1
NM_014638	PLCH2
NM_018216	PANK4
NM_001010926	HES5
NR_037844	LOC115110
NM_001195736	FAM213B
NM_033467	MMEL1
NM_080431	ACTRT2
NR_024371	LINC00982
NR_015440	LINC00982
NR_036215	MIR4251
NM_014448	ARHGEF16
NR_030277	MIR551A
NM_005427	TP73
NR_033711	TP73-AS1
NM_017818	WRAP73
NM_182752	TPRG1L
NM_001163724	SMIM1
NM_014704	CEP104
NM_020710	LRRC47
NR_024455	LINC01134
NM_207356	C1orf174
NR_040065	LINC01346
NR_027088	LOC284661
NR_039612	MIR4417
NR_039838	MIR4689
NM_000983	RPL22
NM_207396	RNF207
NM_015557	CHD5
NM_207370	GPR153
NM_001024598	HES3
NM_148965	TNFRSF25
NM_019089	HES2
NM_001265593	PLEKHG5
NR_036218	MIR4252
NM_031475	ESPN
NM_153812	PHF13
NM_024654	NOL9
NM_005341	ZBTB48
NM_014851	KLHL21
NM_138697	TAS1R1
NM_001195752	THAP3
NM_018198	DNAJC11
NM_004781	VAMP3
NM_021995	UTS2
NM_018948	ERRFI1
NM_007262	PARK7
NM_001270500	CA6
NM_001428	ENO1
NR_038351	ENO1-AS1
NM_207420	SLC2A7
NM_003039	SLC2A5
NM_025106	SPSB1
NM_001130924	TMEM201
NM_032315	SLC25A33
NM_005026	PIK3CD
NR_027045	PIK3CD-AS1
NM_022787	NMNAT1
NM_032368	LZIC
NM_052960	RBP7
NM_002631	PGD
NM_004401	DFFA
NM_199006	APITD1-CORT
NM_003132	SRM
NM_007375	TARDBP
NM_006610	MASP2
NM_021146	ANGPTL7
NR_046600	MTOR-AS1
NM_013319	UBIAD1
NM_020780	PTCHD2
NM_001127325	MAD2L2
NM_033182	FBXO44
NM_012168	FBXO2
NM_018438	FBXO6
NM_198545	DRAXIN
NM_001286	CLCN6
NM_002521	NPPB
NM_005957	MTHFR
NM_006172	NPPA
NM_000302	PLOD1
NM_138346	KIAA2013
NM_021933	MIIP
NM_001066	TNFRSF1B
NR_039775	MIR4632
NR_003025	SNORA59A
NR_003022	SNORA59B
NM_004753	DHRS3
NM_001103170	AADACL3
NM_152290	C1orf158
NM_001080830	PRAMEF12
NM_001146181	HNRNPCL3
NM_023014	PRAMEF2
NM_001146344	PRAMEF11
NM_001009611	PRAMEF4
NM_023013	PRAMEF1
NM_001010890	PRAMEF9
NM_001100631	PRAMEF22
NM_001012276	PRAMEF8
NM_001010889	PRAMEF6
NM_001136561	HNRNPCL2
NM_001045480	PRAMEF16
NM_001099851	PRAMEF17
NM_001024661	PRAMEF14
NM_001099852	PRAMEF20
NM_001010847	LRRC38
NM_006474	PDPN
NM_012231	PRDM2
NM_018022	TMEM51
NM_001229	CASP9
NM_015849	CELA2B
NM_007272	CTRC
NM_024329	EFHD2
NM_033440	CELA2A
NM_032341	DDI2
NM_024758	AGMAT
NM_006511	RSC1A1
NM_017556	FBLIM1
NM_207348	SLC25A34
NM_001013641	TMEM82
NM_015164	PLEKHM2
NM_001089591	UQCRHL
NR_024279	FLJ37453
NM_178840	C1orf64
NM_004070	CLCNKA
NM_014424	HSPB7
NM_003443	ZBTB17
NM_182623	FAM131C
NM_004431	EPHA2
NM_153213	ARHGEF19
NM_030907	RSG1
NM_001114600	SZRD1
NM_198546	SPATA21
NR_023386	CROCCP3
NR_037446	MIR3675
NR_026752	CROCCP2
NR_027504	MST1P2
NM_001271733	MST1L
NM_014675	CROCC
NM_003000	SDHB
NM_022089	ATP13A2
NM_012387	PADI4
NM_016233	PADI3
NM_001136204	RCC2
NM_207421	PADI6
NM_152375	KLHDC7A
NM_152232	TAS1R2
NM_003748	ALDH4A1
NR_039844	MIR4695
NM_012067	AKR7A3
NM_015047	EMC1
NR_037847	LOC100506730
NM_016183	MRTO4
NM_017765	PQLC2
NM_003689	AKR7A2
NR_040288	AKR7L
NM_000871	HTR6
NM_182744	NBL1
NM_001204083	MINOS1
NR_077246	RPS14P3
NM_019062	RNF186
NM_014589	PLA2G2E
NM_001161728	PLA2G2A
NM_015207	OTUD3
NM_000929	PLA2G5
NM_012400	PLA2G2D
NM_001105572	PLA2G2C
NM_022819	PLA2G2F
NM_152376	UBXN10
NM_001039500	VWA5B1
NM_018584	CAMK2N1
NM_024544	MUL1
NM_001785	CDA
NM_207334	FAM43B
NM_020816	KIF17
NM_001103161	SH2D5
NM_005216	DDOST
NR_031657	MIR1256
NR_038404	LOC100506801
NM_001113349	ECE1
NM_032264	NBPF3
NM_001145658	RAP1GAP
NM_007352	CELA3B
NR_023918	LINC00339
NM_030761	WNT4
NM_020526	EPHA8
NM_001114101	C1QC
NM_015991	C1QA
NR_039832	MIR4684
NM_000491	C1QB
NR_036214	MIR4253
NM_001009999	KDM1A
NR_036057	MIR3115
NM_001242521	C1orf234
NM_000864	HTR1D
NM_030634	ZNF436
NM_001102398	HNRNPR
NR_033690	ZNF436-AS1
NM_017707	ASAP3
NM_002167	ID3
NR_027042	MDS2
NM_000975	RPL11
NM_003198	TCEB3
NM_020362	PITHD1
NR_038280	TCEB3-AS1
NM_000191	HMGCL
NM_000147	FUCA1
NM_001841	CNR2
NM_007260	LYPLA2
NM_001127621	GALE
NM_017761	PNRC2
NM_054016	SRSF10
NR_039615	MIR378F
NM_152372	MYOM3
NM_021258	IL22RA1
NR_027087	LOC284632
NM_198174	GRHL3
NM_001199013	STPG1
NM_013441	RCAN3
NR_045408	RCAN3AS
NM_005839	SRRM1
NM_004350	RUNX3
NM_015484	SYF2
NM_016124	RHD
NM_014313	TMEM50A
NM_020317	RSRP1
NM_015627	LDLRAP1
NM_001099625	MTFR1L
NR_024498	LOC646471
NM_178422	PAQR7
NM_024037	AUNIP
NM_206926	SEPN1
NM_000437	PAFAH2
NM_032588	TRIM63
NM_152835	PDIK1L
NM_004455	EXTL1
NM_001004434	SLC30A2
NM_024869	FAM110D
NM_006314	CNKSR1
NM_015871	ZNF593
NM_022778	CEP85
NM_198137	CATSPER4
NM_001803	CD52
NM_001039775	AIM1L
NM_173574	ZNF683
NM_183008	UBXN11
NM_005517	HMGN2
NM_024887	DHDDS
NR_031740	MIR1976
NM_001006665	RPS6KA1
NM_006015	ARID1A
NM_017837	PIGV
NM_006142	SFN
NM_022078	GPATCH3
NM_032283	ZDHHC18
NM_021969	NR0B2
NM_018066	GPN2
NM_152365	KDF1
NM_052943	FAM46B
NM_001013642	TRNP1
NM_003047	SLC9A1
NM_001276252	WDTC1
NR_033926	ACTG1P20
NM_004672	MAP3K6
NM_001193308	SYTL1
NM_003665	FCN3
NM_207397	CD164L2
NM_005281	GPR3
NM_005248	FGR
NM_022873	IFI6
NR_002997	SCARNA1
NM_014110	PPP1R8
NM_177424	STX12
NM_001143912	FAM76A
NM_002946	RPA2
NM_018053	XKR8
NM_001105556	THEMIS2
NM_014474	SMPDL3B
NM_000952	PTAFR
NM_016311	ATPIF1
NM_014280	DNAJC8
NM_001127350	MED18
NM_031459	SESN2
NM_023923	PHACTR4
NM_017846	TRNAU1AP
NM_001048194	RCC1
NR_003077	SNORD99
NM_001193532	RAB42
NR_024127	SNHG12
NM_001173128	YTHDF2
NR_004407	RNU11
NM_006582	GMEB1
NM_000911	OPRD1
NM_001003682	TMEM200B
NM_016011	MECR
NM_006762	LAPTM5
NR_039616	MIR4420
NR_004054	SNORD103A
NR_003066	SNORD85
NM_014654	SDC3
NM_024522	NKAIN1
NM_004102	FABP3
NM_016505	ZCCHC17
NM_004814	SNRNP40
NM_018565	SERINC2
NR_034112	LINC01225
NR_027085	LINC01226
NM_022164	TINAGL1
NM_001525	HCRTR1
NM_012392	PEF1
NR_036216	MIR4254
NM_001856	COL16A1
NM_144569	SPOCD1
NM_018056	TMEM39B
NM_175852	TXLNA
NM_001099434	DCDC2B
NM_003757	EIF3I
NM_024296	CCDC28B
NM_032648	FAM167B
NM_018134	IQCC
NM_001042771	LCK
NM_019118	TMEM234
NR_026850	MTMR9LP
NM_001167676	FAM229A
NM_023009	MARCKSL1
NM_001143888	BSDC1
NM_052841	TSSK3
NM_001145720	ZBTB8B
NM_178547	ZBTB8OS
NM_005610	RBBP4
NM_020888	KIAA1522
NM_003680	YARS
NM_033504	TMEM54
NM_001171941	FNDC5
NM_002143	HPCA
NM_001625	AK2
NM_018207	TRIM62
NR_037400	MIR3605
NM_152493	ZNF362
NM_001080438	A3GALT2
NM_145205	HMGB4
NM_001134734	C1orf94
NM_001005752	GJB3
NM_005268	GJB5
NM_153212	GJB4
NM_002060	GJA4
NM_138428	SMIM12
NM_007167	ZMYM6
NM_001195156	ZMYM6NB
NR_037869	LOC653160
NM_024772	ZMYM1
NM_001014839	NCDN
NM_002794	PSMB2
NM_152374	C1orf216
NM_022111	CLSPN
NM_012199	AGO1
NM_014466	TEKT2
NM_017825	ADPRHL2
NM_001270894	TRAPPC3
NM_018067	MAP7D1
NM_018166	EVA1B
NM_001162530	SH3D21
NM_031280	MRPS15
NM_156039	CSF3R
NM_145047	OSCP1
NM_032881	LSM10
NR_036217	MIR4255
NM_025079	ZC3H12A
NM_022756	MEAF6
NR_049844	MIR5581
NR_038842	LINC01137
NM_003462	DNALI1
NM_001242908	RSPO1
NM_013285	GNL2
NM_001099439	EPHA10
NM_001113482	MANEAL
NM_017850	C1orf109
NM_001256875	CDCA8
NM_005955	MTF1
NM_198446	C1orf122
NM_016037	UTP11L
NM_002699	POU3F1
NM_004468	FHL3
NM_006802	SF3A3
NR_037432	MIR3659
NR_038928	LINC01343
NM_012333	MYCBP
NM_017821	RHBDL2
NM_001184979	NDUFS5
NM_024595	AKIRIN1
NM_015038	KIAA0754
NM_001135653	PABPC4
NM_014571	HEYL
NR_003929	PPIEL
NR_002983	SNORA55
NM_022120	OXCT2
NM_016257	HPCAL4
NM_032526	NT5C1A
NM_001195007	PPIE
NM_001033082	MYCL
NM_017646	TRIT1
NM_001136493	MFSD2A
NM_001105530	CAP1
NM_000310	PPT1
NM_005857	ZMPSTE24
NM_001008740	TMCO2
NM_001852	COL9A2
NM_022733	SMAP2
NM_198494	ZFP69
NM_152373	ZNF684
NM_022774	EXO5
NM_023070	ZFP69B
NM_014747	RIMS3
NR_029833	MIR30C1
NM_014223	NFYC
NR_029846	MIR30E
NM_133467	CITED4
NM_001905	CTPS1
NM_144990	SLFNL1
NR_037868	SLFNL1-AS1
NM_001956	EDN2
NM_007102	GUCA2B
NM_033553	GUCA2A
NM_032257	ZMYND12
NM_024664	PPCS
NM_001080850	CCDC30
NM_004559	YBX1
NM_006347	PPIH
NM_024097	C1orf50
NM_001243246	P3H1
NM_148960	CLDN19
NM_018538	ERMAP
NM_199342	CCDC23
NM_001242739	ZNF691
NM_006516	SLC2A1
NR_033967	SLC2A1-AS1
NM_001101376	FAM183A
NM_001159936	EBNA1BP2
NM_182517	C1orf210
NM_144626	TMEM125
NM_001255	CDC20
NM_052877	MED8
NM_001256399	ELOVL1
NM_005373	MPL
NM_001190880	HYI
NM_014663	KDM4A
NM_001136215	ARTN
NM_152499	CCDC24
NM_001384	DPH2
NM_004047	ATP6V0B
NM_030587	B4GALT2
NM_201649	SLC6A9
NM_173484	KLF17
NM_001034024	DMAP1
NR_049849	MIR5584
NM_001145636	C1orf228
NM_024587	TMEM53
NM_153274	BEST4
NR_001457	SNORD38B
NR_001456	SNORD38A
NM_003738	PTCH2
NR_000024	SNORD46
NM_001136537	BTBD19
NR_000015	SNORD55
NM_004073	PLK3
NM_001012	RPS8
