VCP3 Gene Symbol	HGNC	Consensus
DARS2	25538	NM_018122
DCAF17	25784	NM_025000
DCTN1	2711	NM_004082
DDB1	2717	NM_001923
DDB2	2718	NM_000107
DDC	2719	NM_001082971
DDHD1	19714	NM_001160147
DDHD2	29106	NM_015214
DEGS1	13709	NM_003676
DES	2770	NM_001927
DGUOK	2858	NM_080916
DIAPH1	2876	NM_005219
DLAT	2896	NM_001931
DLD	2898	NM_000108
DMD	2928	NM_004006
DMPK	2933	NM_004409
DNAJB2	5228	NM_001039550
DNAJB6	14888	NM_058246
DNAJC12	28908	NM_021800
DNAJC13	30343	NM_015268
DNAJC3	9439	NM_006260
DNAJC5	16235	NM_025219
DNAJC6	15469	NM_001256864
DNM2	2974	NM_001005360
DNM2	2974	NM_001005361
DNMT1	2976	NM_001130823
DOK7	26594	NM_173660
DOLK	23406	NM_014908
DPM1	3005	NM_003859
DPM2	3006	NM_003863
DPM3	3007	NM_153741
DRP2	3032	NM_001939
DST	1090	NM_001723
DSTYK	29043	NM_015375
DTNBP1	17328	NM_032122
DTNBP1	17328	NM_183040
DYNC1H1	2961	NM_001376
DYRK1A	3091	NM_001396
DYSF	3097	NM_003494
DYSF	3097	NM_001130987
EARS2	29419	NM_001083614
ECEL1	3147	NM_004826
ECHS1	3151	NM_004092
EGR2	3239	NM_000399
EIF2B1	3257	NM_001414
EIF2B2	3258	NM_014239
EIF2B3	3259	NM_020365
EIF2B4	3260	NM_001034116
EIF2B5	3261	NM_003907
EIF4G1	3296	NM_182917
ELOVL4	14415	NM_022726
ELP1	5959	NM_003640
EMD	3331	NM_000117
ENG	3349	NM_000118
ENG	3349	NM_001114753
ENTPD1	3363	NM_001776
EPG5	29331	NM_020964
EPHB2	3393	NM_004442
EPHB2	3393	NM_017449
EPM2A	3413	NM_005670
ERBB4	3432	NM_005235
ERCC1	3433	NM_001983
ERCC2	3434	NM_000400
ERCC3	3435	NM_000122
ERCC4	3436	NM_005236
ERCC5	3437	NM_000123
ERCC6	3438	NM_000124
ERCC8	3439	NM_000082
ERLIN1	16947	NM_006459
ERLIN2	1356	NM_007175
ERLIN2	1356	NM_001003791
ETFDH	3483	NM_004453
ETV6	3495	NM_001987
EWSR1	3508	NM_005243
F10	3528	NM_000504
F11	3529	NM_000128
F12	3530	NM_000505
F13A1	3531	NM_000129
F13B	3534	NM_001994
F2	3535	NM_000506
F2R	3537	NM_001992
F3	3541	NM_001993
F5	3542	NM_000130
F7	3544	NM_000131
F8	3546	NM_000132
F9	3551	NM_000133
FA2H	21197	NM_024306
FAH	3579	NM_000137
FAM126A	24587	NM_032581
FANCA	3582	NM_000135
FANCB	3583	NM_001018113
FANCC	3584	NM_000136
FANCD2	3585	NM_001018115
FANCD2	3585	NM_033084
FANCE	3586	NM_021922
FANCF	3587	NM_022725
FANCG	3588	NM_004629
FANCI	25568	NM_001113378
FANCL	20748	NM_001114636
FANCL	20748	NM_018062
FARS2	21062	NM_006567
FBLN5	3602	NM_006329
FBXO38	28844	NM_205836
FBXO7	13586	NM_012179
FERMT3	23151	NM_178443
FGA	3661	NM_000508
FGB	3662	NM_005141
FGD4	19125	NM_139241
FGD4	19125	NM_001304481
FGD4	19125	NM_001304480
FGF14	3671	NM_004115
FGG	3694	NM_000509
FHL1	3702	NM_001159699
FHL1	3702	NM_001159702
FIG4	16873	NM_014845
FKBP14	18625	NM_017946
FKRP	17997	NM_024301
FKTN	3622	NM_001079802
FLI1	3749	NM_001167681
FLI1	3749	NM_001271010
FLI1	3749	NM_001271012
FLI1	3749	NM_002017
FLNA	3754	NM_001110556
FLNC	3756	NM_001458
FLVCR1	24682	NM_014053
FOLR1	3791	NM_016729
FOXG1	3811	NM_005249
FOXRED1	26927	NM_017547
FTL	3999	NM_000146
FUS	4010	NM_004960
FXN	3951	NM_000144
FXR1	4023	NM_005087
FYB1	4036	NM_001465
GAA	4065	NM_000152
GAD1	4092	NM_000817
GALC	4115	NM_000153
GALE	4116	NM_000403
GAN	4137	NM_022041
GARS1	4162	NM_002047
GATA1	4170	NM_002049
GBA	4177	NM_000157
GBA2	18986	NM_020944
GBE1	4180	NM_000158
GCDH	4189	NM_000159
GCH1	4193	NM_000161
GDAP1	15968	NM_018972
GFAP	4235	NM_002055
GFI1B	4238	NM_004188
GGCX	4247	NM_000821
GIGYF2	11960	NM_001103146
GJA1	4274	NM_000165
GJB1	4283	NM_000166
GJC2	17494	NM_020435
GLA	4296	NM_000169
GLB1	4298	NM_000404
GLRA1	4326	NM_001146040
GLRB	4329	NM_000824
GM2A	4367	NM_000405
GMPPB	22932	NM_013334
GNAL	4388	NM_182978
GNAO1	4389	NM_020988
GNB4	20731	NM_021629
GNE	23657	NM_001128227
GNE	23657	NM_005476
GOLGA2	4425	NM_004486
GP1BA	4439	NM_000173
GP1BB	4440	NM_000407
GP6	14388	NM_016363
GP6	14388	NM_001256017
GP6	14388	NM_001083899
GP9	4444	NM_000174
GRID2	4576	NM_001510
GRM1	4593	NM_001278064
GRN	4601	NM_002087
GTF2E2	4651	NM_002095
GTF2H5	21157	NM_207118
GTPBP2	4670	NM_019096
HACD1	9639	NM_014241
HACE1	21033	NM_020771
HADHA	4801	NM_000182
HADHB	4803	NM_000183
HARS1	4816	NM_002109
HCFC1	4839	NM_005334
HEPACAM	26361	NM_152722
HEXA	4878	NM_000520
HEXB	4879	NM_000521
HIBCH	4908	NM_014362
HINT1	4912	NM_005340
HK1	4922	NM_033500
HMBS	4982	NM_000190
HMGCL	5005	NM_000191
HNRNPA1	5031	NM_031157
HNRNPA2B1	5033	NM_002137
HNRNPDL	5037	NM_031372
HOXA11	5101	NM_005523
HPCA	5144	NM_002143
HPRT1	5157	NM_000194
HPS1	5163	NM_000195
HPS3	15597	NM_032383
HPS4	15844	NM_022081
HPS4	15844	NM_152841
HPS5	17022	NM_181507
HPS6	18817	NM_024747
HRG	5181	NM_000412
HSPB1	5246	NM_001540
HSPB8	30171	NM_014365
HSPD1	5261	NM_002156
HTRA1	9476	NM_002775
HTRA2	14348	NM_013247
IARS2	29685	NM_018060
IBA57	27302	NM_001010867
IFIH1	18873	NM_022168
IGHMBP2	5542	NM_002180
INF2	23791	NM_022489
INPP5K	33882	NM_016532
CRPPA	37276	NM_001101426
ITGA2B	6138	NM_000419
ITGA7	6143	NM_002206
ITGA7	6143	NM_001144997
ITGB3	6156	NM_000212
ITM2B	6174	NM_021999
ITPR1	6180	NM_001168272
KBTBD13	37227	NM_001101362
KCNA1	6218	NM_000217
KCNA2	6220	NM_004974
KCNC3	6235	NM_004977
KCND3	6239	NM_004980
KCNK18	19439	NM_181840
KCNMA1	6284	NM_001161352
KCNQ2	6296	NM_172107
KCTD17	25705	NM_001282684
KDM5C	11114	NM_004187
KDSR	4021	NM_002035
MYORG	19918	NM_020702
KIDINS220	29508	NM_020738
KIF1A	888	NM_001244008
KIF1A	888	NM_004321
KIF1C	6317	NM_006612
KIF5A	6323	NM_004984
KLHL40	30372	NM_152393
KLHL41	16905	NM_006063
KLKB1	6371	NM_000892
KMT2B	15840	NM_014727
KNG1	6383	NM_000893
KNG1	6383	NM_001102416
KY	26576	NM_178554
L1CAM	6470	NM_000425
L2HGDH	20499	NM_024884
LAMA2	6482	NM_000426
LAMP2	6501	NM_002294
LAMP2	6501	NM_013995
LAMP2	6501	NM_001122606
LARGE1	6511	NM_004737
LIG4	6601	NM_002312
LITAF	16841	NM_001136473
LMAN1	6631	NM_005570
LMNA	6636	NM_170707
LMNB1	6637	NM_005573
LMOD3	6649	NM_198271
LPIN1	13345	NM_145693
LRPPRC	15714	NM_133259
LRRK2	18618	NM_198578
LRSAM1	25135	NM_138361
LYST	1968	NM_000081
LYST	1968	NM_001301365
MAD2L2	6764	NM_006341
MAG	6783	NM_002361
MAP3K20	17797	NM_016653
MAPT	6893	NM_016835
MAPT	6893	NM_001123066
MARS1	6898	NM_004990
MARS2	25133	NM_138395
MATR3	6912	NM_199189
MCFD2	18451	NM_139279
MCM3AP	6946	NM_003906
MCOLN1	13356	NM_020533
MECOM	3498	NM_004991
MECR	19691	NM_016011
MEGF10	29634	NM_032446
MFN2	16877	NM_014874
MICU1	1530	NM_006077
MRTFA	14334	NM_020831
MMACHC	24525	NM_015506
MME	7154	NM_000902
MOG	7197	NM_206809
MORC2	23573	NM_001303256
MPIG6B	13937	NM_025260
MPIG6B	13937	NM_138272
MPL	7217	NM_005373
MPLKIP	16002	NM_138701
MPV17	7224	NM_002437
MPZ	7225	NM_000530
MRE11	7230	NM_005591
MSTO1	29678	NM_018116
MTFMT	29666	NM_139242
MTHFR	7436	NM_005957
MTM1	7448	NM_000252
MTMR14	26190	NM_001077525
MTMR2	7450	NM_016156
MTPAP	25532	NM_018109
MTTP	7467	NM_000253
MYBPC1	7549	NM_002465
MYBPC3	7551	NM_000256
MYF5	7565	NM_005593
MYH14	23212	NM_001145809
MYH2	7572	NM_017534
MYH3	7573	NM_002470
MYH7	7577	NM_000257
MYH8	7578	NM_002472
MYH9	7579	NM_002473
MYL1	7582	NM_079420
MYMK	33778	NM_001080483
MYO18B	18150	NM_032608
MYOT	12399	NM_006790
MYPN	23246	NM_032578
NAGA	7631	NM_000262
NBEA	7648	NM_015678
NBEA	7648	NM_001204197
NBEAL2	31928	NM_015175
NDRG1	7679	NM_006096
NDUFA1	7683	NM_004541
NDUFA10	7684	NM_004544
NDUFAF5	15899	NM_024120
NDUFAF6	28625	NM_152416
NDUFS1	7707	NM_005006
NDUFS4	7711	NM_002495
NDUFS7	7714	NM_024407
NDUFS8	7715	NM_002496
NDUFV1	7716	NM_007103
NEB	7720	NM_001271208
NEFH	7737	NM_021076
NEFL	7739	NM_006158
NEK1	7744	NM_001199397
NGF	7808	NM_002506
NGLY1	17646	NM_018297
NHEJ1	25737	NM_024782
NHLRC1	21576	NM_198586
NIPA1	17043	NM_144599
NKX2-1	11825	NM_001079668
NKX6-2	19321	NM_177400
NOP56	15911	NM_006392
NOTCH3	7883	NM_000435
NPC1	7897	NM_000271
NPC2	14537	NM_006432
NR4A2	7981	NM_006186
NT5C2	8022	NM_012229
NTRK1	8031	NM_001007792
NTRK1	8031	NM_001012331
NTRK1	8031	NM_002529
OCLN	8104	NM_002538
OCRL	8108	NM_000276
OPA1	8140	NM_015560
OPA1	8140	NM_130837
OPA3	8142	NM_001017989
OPA3	8142	NM_025136
OPTN	17142	NM_001008211
ORAI1	25896	NM_032790
P2RX1	8533	NM_002558
P2RY12	18124	NM_022788
PAH	8582	NM_000277
PALB2	26144	NM_024675
PANK2	15894	NM_153638
PARK7	16369	NM_007262
PAX7	8621	NM_002584
PCCA	8653	NM_000282
PCCB	8654	NM_000532
PCDH12	8657	NM_016580
PDE10A	8772	NM_001130690
PDE2A	8777	NM_002599
PDGFB	8800	NM_002608
PDGFRB	8804	NM_002609
PDHA1	8806	NM_000284
PDHX	21350	NM_003477
PDK3	8811	NM_005391
PDYN	8820	NM_024411
PET100	40038	NM_001171155
PEX1	8850	NM_000466
PEX10	8851	NM_153818
PEX11B	8853	NM_003846
PEX12	8854	NM_000286
PEX13	8855	NM_002618
PEX14	8856	NM_004565
PEX16	8857	NM_057174
PEX19	9713	NM_002857
PEX2	9717	NM_000318
PEX26	22965	NM_017929
PEX3	8858	NM_003630
PEX5	9719	NM_000319
PEX6	8859	NM_000287
PEX7	8860	NM_000288
PFKM	8877	NM_000289
PFN1	8881	NM_005022
PHKA1	8925	NM_002637
PHYH	8940	NM_006214
PIEZO2	26270	NM_022068
PIGA	8957	NM_002641
PINK1	14581	NM_032409
PLA2G4A	9035	NM_024420
PLA2G6	9039	NM_003560
PLAT	9051	NM_000930
PLAU	9052	NM_002658
PLAU	9052	NM_001145031
PLEC	9069	NM_000445
PLEKHG5	29105	NM_020631
PLG	9071	NM_000301
PLG	9071	NM_001168338
PLP1	9086	NM_000533
PMM2	9115	NM_000303
PMP2	9117	NM_002677
PMP22	9118	NM_000304
PNKD	9153	NM_015488
PNKP	9154	NM_007254
PNPLA6	16268	NM_001166111
POGLUT1	22954	NM_152305
POLG	9179	NM_002693
POLH	9181	NM_006502
POLR1C	20194	NM_203290
POLR3A	30074	NM_007055
POLR3B	30348	NM_018082
POMGNT1	19139	NM_001243766
POMGNT1	19139	NM_017739
POMGNT2	25902	NM_032806
POMK	26267	NM_032237
POMT1	9202	NM_007171
POMT2	19743	NM_013382
PPA2	28883	NM_176869
PPOX	9280	NM_001122764
PPP2R2B	9305	NM_181678
PRDM12	13997	NM_021619
PRKACG	9382	NM_002732
PRKCG	9402	NM_002739
PRKN	8607	NM_004562
PRKRA	9438	NM_003690
PRNP	9449	NM_000311
PROC	9451	NM_000312
PROCR	9452	NM_006404
PROS1	9456	NM_000313
PROZ	9460	NM_001256134
PRPH	9461	NM_006262
PRPS1	9462	NM_002764
PRRT2	30500	NM_145239
PRX	13797	NM_020956
PRX	13797	NM_181882
PSAP	9498	NM_002778
PSEN1	9508	NM_000021
PSEN2	9509	NM_000447
PTCH1	9585	NM_000264
PTCH1	9585	NM_001083602
PTEN	9588	NM_000314
PTGS1	9604	NM_000962
PTPN11	9644	NM_002834
PTPRJ	9673	NM_002843
PTRH2	24265	NM_016077
PTS	9689	NM_000317
PYGM	9726	NM_005609
PYROXD1	26162	NM_024854
QDPR	9752	NM_000320
RAB39B	16499	NM_171998
RAB7A	9788	NM_004637
RAD51C	9820	NM_058216
RASGRP2	9879	NM_153819
RBM8A	9905	NM_005105
REEP1	25786	NM_001164730
REEP1	25786	NM_022912
REEP2	17975	NM_016606
RETREG1	25964	NM_001034850
RGS2	9998	NM_002923
RNASEH2A	18518	NM_006397
RNASEH2B	25671	NM_001142279
RNASEH2B	25671	NM_024570
RNASEH2C	24116	NM_032193
RNASET2	21686	NM_003730
RNF113A	12974	NM_006978
RNF216	21698	NM_207111
RNU4ATAC	34016	NR_023343
RPS6KA3	10432	NM_004586
RTN2	10468	NM_005619
RUNX1	10471	NM_001754
RYR1	10483	NM_000540
RYR3	10485	NM_001036
SACS	10519	NM_014363
SAMHD1	15925	NM_015474
SBF1	10542	NM_002972
SBF2	2135	NM_030962
SCARB2	1665	NM_005506
SCN10A	10582	NM_006514
SCN11A	10583	NM_014139
SCN1A	10585	NM_006920
SCN4A	10591	NM_000334
SCN8A	10596	NM_001330260
SCN9A	10597	NM_002977
SCYL1	14372	NM_020680
SELENON	15999	NM_020451
SEPTIN9	7323	NM_001113491
SERAC1	21061	NM_032861
SERPINC1	775	NM_000488
SERPIND1	4838	NM_000185
SERPINE1	8583	NM_000602
SERPINF2	9075	NM_000934
SETX	445	NM_015046
SGCA	10805	NM_000023
SGCB	10806	NM_000232
SGCD	10807	NM_000337
SGCE	10808	NM_003919
SGCG	10809	NM_000231
SH3TC2	29427	NM_024577
SIGMAR1	8157	NM_005866
SIL1	24624	NM_022464
SLC12A6	10914	NM_005135
SLC12A6	10914	NM_133647
SLC16A2	10923	NM_006517
SLC19A3	16266	NM_025243
SLC1A3	10941	NM_004172
SLC1A4	10942	NM_003038
SLC20A2	10947	NM_006749
SLC25A19	14409	NM_001126121
SLC25A4	10990	NM_001151
SLC25A46	25198	NM_138773
SLC2A1	11005	NM_006516
SLC30A10	25355	NM_018713
SLC39A14	20858	NM_001128431
SLC45A2	16472	NM_016180
SLC52A2	30224	NM_024531
SLC52A3	16187	NM_033409
SLC5A7	14025	NM_021815
SLC6A3	11049	NM_001044
SLC6A5	11051	NM_004211
SLC6A8	11055	NM_005629
SLFN14	32689	NM_001129820
SLX4	23845	NM_032444
SMAD4	6770	NM_005359
SMCHD1	29090	NM_015295
SMN1	11117	NM_000344
SNCA	11138	NM_000345
SNCB	11140	NM_001001502
SNORD118	32952	NR_033294
SNX14	14977	NM_153816
SOD1	11179	NM_000454
SOX10	11190	NM_006941
SPART	18514	NM_015087
SPAST	11233	NM_014946
SPEG	16901	NM_005876
SPG11	11226	NM_025137
SPG21	20373	NM_016630
SPG7	11237	NM_003119
SPR	11257	NM_003124
SPTLC1	11277	NM_006415
SPTLC2	11278	NM_004863
SQSTM1	11280	NM_003900
SRC	11283	NM_198291
SS18L1	15592	NM_198935
STAC3	28423	NM_145064
STIM1	11386	NM_003156
STUB1	11427	NM_005861
STXBP2	11445	NM_006949
SUCLA2	11448	NM_003850
SUOX	11460	NM_000456
SURF1	11474	NM_003172
SYNE1	17089	NM_182961
SYNE1	17089	NM_033071
SYNE2	17084	NM_182914
SYNJ1	11503	NM_003895
TAF1	11535	NM_004606
TARDBP	11571	NM_007375
TARS1	11572	NM_152295
TBK1	11584	NM_013254
TBXA2R	11608	NM_001060
TBXAS1	11609	NM_001130966
TBXAS1	11609	NM_001061
TCAP	11610	NM_003673
TECPR2	19957	NM_014844
TFG	11758	NM_006070
TFPI	11760	NM_006287
TGM6	16255	NM_198994
TH	11782	NM_199292
THAP1	20856	NM_018105
THBD	11784	NM_000361
THPO	11795	NM_000460
TIMM8A	11817	NM_004085
TMEM240	25186	NM_001114748
RXYLT1	13530	NM_014254
TNNI2	11946	NM_003282
TNNT1	11948	NM_003283
TNNT3	11950	NM_006757
TNPO3	17103	NM_012470
TNXB	11976	NM_001365276
TOP3A	11992	NM_004618
TOR1A	3098	NM_000113
TPK1	17358	NM_022445
TPM2	12011	NM_003289
TPM2	12011	NM_213674
TPM3	12012	NM_152263
TPM4	12013	NM_003290
TPP1	2073	NM_000391
TRAPPC11	25751	NM_021942
TRDN	12261	NM_006073
TREM2	17761	NM_018965
TREX1	12269	NM_033629
TRIM2	15974	NM_015271
TRIM32	16380	NM_012210
TRIP4	12310	NM_016213
TRPA1	497	NM_007332
TRPM7	17994	NM_017672
TRPV4	18083	NM_021625
TTBK2	19141	NM_173500
TTC19	26006	NM_017775
TTN	12403	NM_001267550
TTPA	12404	NM_000370
TTR	12405	NM_000371
TUBA4A	12407	NM_006000
TUBB1	16257	NM_030773
TUBB3	20772	NM_006086
TUBB4A	20774	NM_006087
TWNK	1160	NM_021830
TYMP	3148	NM_001257988
TYMP	3148	NM_001257989
TYROBP	12449	NM_003332
UBAP1	12461	NM_016525
UBE2T	25009	NM_014176
UBQLN2	12509	NM_013444
UCHL1	12513	NM_004181
UNC13D	23147	NM_199242
UNC45B	14304	NM_173167
UVSSA	29304	NM_020894
VAC14	25507	NM_018052
VAMP1	12642	NM_014231
VAMP2	12643	NM_014232
VAPB	12649	NM_004738
VCP	12666	NM_007126
VIPAS39	20347	NM_001193315
VKORC1	23663	NM_024006
VMA21	22082	NM_001017980
VPS13A	1908	NM_015186
VPS13A	1908	NM_033305
VPS13C	23594	NM_020821
VPS13D	23595	NM_015378
VPS33B	12712	NM_018668
VPS35	13487	NM_018206
VPS37A	24928	NM_152415
VRK1	12718	NM_003384
VWF	12726	NM_000552
WARS1	12729	NM_004184
WAS	12731	NM_000377
WASHC5	28984	NM_014846
WDR45	28912	NM_001029896
WDR45B	25072	NM_019613
WDR48	30914	NM_020839
WDR73	25928	NM_032856
WFS1	12762	NM_006005
WNK1	14540	NM_018979
WNK1	14540	NM_213655
WWOX	12799	NM_016373
XK	12811	NM_021083
XPA	12814	NM_000380
XPC	12816	NM_004628
XPR1	12827	NM_004736
XRCC1	12828	NM_006297
XRCC4	12831	NM_022406
YARS1	12840	NM_003680
YY1	12856	NM_003403
ZFYVE26	20761	NM_015346
ZSWIM6	29316	NM_020928
