#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
127534	GJB4;NM_153212.2	1	+	35226805	35227706	35226805	35227706	1	35226805	35227706	nan	GJB4	nan	nan	0
1475	CSTA;NM_005213.3	3	+	122044089	122060464	122044089	122060464	3	122044089,122056343,122060235	122044255,122056545,122060464	nan	CSTA	nan	nan	0,0,0
27032	ATP2C1;NM_001001486.1	3	+	130613563	130735141	130613563	130735141	28	130613563,130649209,130650815,130653415,130656221,130659423,130660384,130672614,130673805,130674897,130678068,130682764,130683741,130685938,130686123,130688085,130694125,130698042,130699375,130711744,130712725,130714836,130715473,130716399,130717087,130718311,130720013,130734945	130613669,130649420,130651032,130653605,130656357,130659585,130660593,130672870,130673974,130675073,130678235,130682989,130683939,130686134,130686313,130688290,130694382,130698313,130699573,130711895,130712992,130715005,130715690,130716647,130717283,130718553,130720238,130735141	nan	ATP2C1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9076	CLDN1;NM_021101.4	3	-	190026015	190040045	190026015	190040045	4	190026015,190027907,190030610,190039722	190026278,190028092,190030875,190040045	nan	CLDN1	nan	nan	0,0,0,0
56916	SMARCAD1;NM_020159.4	4	+	95129495	95210735	95129495	95210735	23	95129495,95147219,95155054,95158052,95162006,95170754,95171852,95173716,95185807,95191828,95194717,95195838,95195990,95197439,95198122,95199522,95199716,95200029,95201692,95202572,95204221,95206060,95210573	95129785,95147497,95155323,95158219,95162207,95170956,95172034,95174208,95186107,95192019,95194917,95195998,95196166,95197675,95198360,95199718,95199934,95200251,95201981,95202791,95204504,95206270,95210735	nan	SMARCAD1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11005	SPINK5;NM_001127698.1	5	+	147443557	147516604	147443557	147516604	34	147443557,147444859,147449835,147451660,147465917,147468054,147469006,147470677,147473866,147475330,147477379,147478746,147479966,147480867,147481293,147484464,147486549,147488265,147491280,147492380,147493874,147495882,147497949,147498498,147499521,147499807,147503345,147504277,147505036,147505235,147506495,147510771,147513309,147516495	147443712,147444985,147450063,147451833,147466145,147468218,147469234,147470841,147474094,147475518,147477607,147478928,147480194,147481049,147481521,147484613,147486777,147488450,147491508,147492547,147494102,147496079,147498177,147498671,147499749,147500004,147503573,147504450,147505226,147505463,147506692,147511002,147513500,147516604	nan	SPINK5	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348938	NIPAL4;NM_001099287.1	5	+	156887092	156900018	156887092	156900018	6	156887092,156890051,156894006,156895679,156898614,156899289	156887415,156890391,156894163,156895870,156898875,156900018	nan	NIPAL4	nan	nan	0,0,0,0,0,0
1832	DSP;NM_004415.3	6	+	7542098	7586161	7542098	7586161	24	7542098,7555900,7558298,7559408,7562834,7563918,7565541,7566559,7567536,7567963,7568619,7569368,7570619,7571565,7572024,7574268,7574839,7575477,7576476,7577141,7577961,7578646,7579457,7582824	7542368,7556103,7558547,7559683,7563063,7564069,7565803,7566764,7567732,7568189,7568872,7569623,7570846,7571867,7572351,7574535,7575078,7575771,7576739,7577325,7578169,7578845,7581852,7586161	nan	DSP	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041	CDSN;NM_001264.4	6	-	31083751	31088246	31083751	31088246	2	31083751,31088061	31085356,31088246	nan	CDSN	nan	nan	0,0
285848	PNPLA1;NM_173676.2	6	+	36259126	36275543	36259126	36275543	7	36259126,36260787,36261916,36263090,36269587,36274018,36275313	36259379,36260953,36262226,36263251,36270296,36274203,36275543	nan	PNPLA1	nan	nan	0,0,0,0,0,0,0
6785	ELOVL4;NM_022726.3	6	-	80626274	80657046	80626274	80657046	6	80626274,80629086,80631291,80634618,80635860,80656846	80626650,80629314,80631563,80634799,80636148,80657046	nan	ELOVL4	nan	nan	0,0,0,0,0,0
2697	GJA1;NM_000165.4	6	+	121767943	121769192	121767943	121769192	1	121767943	121769192	nan	GJA1	nan	nan	0
5191	PEX7;NM_000288.3	6	+	137143753	137234714	137143753	137234714	10	137143753,137146301,137147406,137166702,137167160,137187714,137190977,137193285,137219229,137234545	137143983,137146459,137147657,137166880,137167369,137187921,137191191,137193441,137219429,137234714	nan	PEX7	nan	nan	0,0,0,0,0,0,0,0,0,0
404672	GTF2H5;NM_207118.2	6	+	158591485	158613239	158591485	158613239	2	158591485,158612958	158591620,158613239	nan	GTF2H5	nan	nan	0,0
136647	MPLKIP;NM_138701.3	7	-	40172607	40174216	40172607	40174216	2	40172607,40173777	40172908,40174216	nan	MPLKIP	nan	nan	0,0
1174	AP1S1;NM_001283.4	7	+	100797745	100803897	100797745	100803897	5	100797745,100799824,100800607,100802289,100803749	100797848,100800103,100800816,100802527,100803897	nan	AP1S1	nan	nan	0,0,0,0,0
57152	SLURP1;NM_020427.2	8	-	143822510	143823853	143822510	143823853	3	143822510,143823170,143823695	143822744,143823390,143823853	nan	SLURP1	nan	nan	0,0,0
10999	SLC27A4;NM_005094.3	9	+	131105361	131122820	131105361	131122820	12	131105361,131107383,131110773,131112540,131112712,131114866,131115253,131115643,131117281,131117626,131117878,131122562	131105622,131107878,131111032,131112710,131112904,131115076,131115563,131115870,131117519,131117891,131118125,131122820	nan	SLC27A4	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
5264	PHYH;NM_001037537.1	10	-	13320250	13336591	13320250	13336591	6	13320250,13322925,13325639,13330309,13333780,13336377	13320404,13323160,13325889,13330591,13333962,13336591	nan	PHYH	nan	nan	0,0,0,0,0,0
643418	LIPN;NM_001102469.1	10	+	90521112	90538049	90521112	90538049	9	90521112,90521894,90524116,90525975,90528498,90530551,90534179,90534798,90537715	90521320,90522112,90524415,90526185,90528735,90530798,90534351,90534970,90538049	nan	LIPN	nan	nan	0,0,0,0,0,0,0,0,0
57104	PNPLA2;NM_020376.3	11	+	819668	824912	819668	824912	9	819668,821577,821907,822346,823476,823643,823947,824263,824472	819955,821910,822073,822656,823637,823905,824180,824486,824912	nan	PNPLA2	nan	nan	0,0,0,0,0,0,0,0,0
1075	CTSC;NM_001814.5	11	-	88027123	88070890	88027123	88070890	7	88027123,88029250,88033647,88042280,88045505,88068054,88070618	88027726,88029482,88033863,88042536,88045772,88068300,88070890	nan	CTSC	nan	nan	0,0,0,0,0,0,0
6768	ST14;NM_021978.3	11	+	130029824	130079768	130029824	130079768	19	130029824,130057958,130058374,130058713,130059583,130059957,130060298,130063993,130064484,130066183,130066414,130067685,130068152,130068352,130068791,130069795,130078254,130079286,130079506	130030005,130058218,130058602,130058884,130059841,130060093,130060639,130064233,130064682,130066393,130066645,130067890,130068363,130068566,130069014,130070082,130078629,130079523,130079768	nan	ST14	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362	AQP5;NM_001651.3	12	+	50355750	50359010	50355750	50359010	4	50355750,50357224,50357824,50358724	50356213,50357489,50358008,50359010	nan	AQP5	nan	nan	0,0,0,0
3854	KRT6B;NM_005555.3	12	-	52840923	52845912	52840923	52845912	9	52840923,52841272,52841511,52842575,52843202,52843491,52843745,52844139,52845272	52841259,52841407,52841832,52842801,52843467,52843687,52843906,52844454,52845912	nan	KRT6B	nan	nan	0,0,0,0,0,0,0,0,0
286887	KRT6C;NM_173086.4	12	-	52862795	52867571	52862795	52867571	9	52862795,52863144,52863403,52864238,52864865,52865154,52865405,52865799,52866931	52863131,52863279,52863724,52864464,52865130,52865350,52865566,52866114,52867571	nan	KRT6C	nan	nan	0,0,0,0,0,0,0,0,0
3853	KRT6A;NM_005554.3	12	-	52881453	52887022	52881453	52887022	9	52881453,52881802,52882061,52883676,52884302,52884591,52884845,52885255,52886382	52881789,52881937,52882382,52883902,52884567,52884787,52885006,52885570,52887022	nan	KRT6A	nan	nan	0,0,0,0,0,0,0,0,0
3849	KRT2;NM_000423.2	12	-	53038752	53045976	53038752	53045976	9	53038752,53039268,53040473,53041463,53041906,53042740,53043647,53044072,53045291	53039268,53039403,53040794,53041689,53042171,53042936,53043808,53044387,53045976	nan	KRT2	nan	nan	0,0,0,0,0,0,0,0,0
3848	KRT1;NM_006121.3	12	-	53068926	53074182	53068926	53074182	9	53068926,53069443,53070008,53070792,53071049,53071383,53071896,53072275,53073491	53069451,53069578,53070329,53071018,53071314,53071579,53072057,53072590,53074182	nan	KRT1	nan	nan	0,0,0,0,0,0,0,0,0
488	ATP2A2;NM_001681.3	12	+	110719544	110788160	110719544	110788160	21	110719544,110720358,110720467,110729774,110734353,110760746,110764144,110765307,110770351,110770935,110771766,110777035,110777257,110778413,110779982,110780986,110782640,110783003,110783755,110783955,110788046	110719762,110720476,110720650,110729979,110734592,110760927,110764330,110765872,110770540,110771138,110771998,110777258,110777576,110778849,110780303,110781289,110782826,110783237,110783973,110784176,110788160	nan	ATP2A2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706	GJB2;NM_004004.5	13	-	20762989	20763770	20762989	20763770	1	20762989	20763770	nan	GJB2	nan	nan	0
10804	GJB6;NM_006783.4	13	-	20796783	20797669	20796783	20797669	1	20796783	20797669	nan	GJB6	nan	nan	0
51371	POMP;NM_015932.5	13	+	29233271	29252289	29233271	29252289	6	29233271,29236496,29238595,29242559,29246425,29252121	29233374,29236694,29238756,29242761,29246619,29252289	nan	POMP	nan	nan	0,0,0,0,0,0
7051	TGM1;NM_000359.2	14	-	24718468	24731608	24718468	24731608	14	24718468,24723307,24723819,24724127,24724519,24725144,24727440,24727690,24728230,24728859,24729095,24729605,24730850,24731189	24718797,24723544,24724080,24724509,24724773,24725333,24727644,24727929,24728505,24729067,24729314,24729954,24731139,24731608	nan	TGM1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
9333	TGM5;NM_004245.3	15	-	43525338	43559097	43525338	43559097	12	43525338,43525701,43526916,43527616,43530964,43531310,43532999,43544906,43545653,43548715,43552547,43558987	43525592,43525935,43527177,43528085,43531304,43531514,43533238,43545184,43545882,43548934,43552827,43559097	nan	TGM5	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
79719	AAGAB;NM_024666.4	15	-	67495108	67547019	67495108	67547019	10	67495108,67495835,67496331,67500849,67501749,67524101,67528266,67528695,67528917,67546846	67495286,67495985,67496536,67501046,67501932,67524285,67528456,67528892,67529208,67547019	nan	AAGAB	nan	nan	0,0,0,0,0,0,0,0,0,0
26276	VPS33B;NM_018668.4	15	-	91542154	91565529	91542154	91565529	23	91542154,91542856,91543079,91543669,91544568,91545229,91546264,91548056,91548234,91548559,91548873,91549152,91549551,91549831,91550129,91550648,91551049,91552980,91556983,91557563,91560142,91560984,91565333	91542334,91543073,91543255,91543871,91544742,91545462,91546411,91548211,91548399,91548734,91549064,91549339,91549725,91550009,91550326,91550853,91551244,91553126,91557151,91557713,91560304,91561165,91565529	nan	VPS33B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204219	CERS3;NM_178842.4	15	-	100942867	101042104	100942867	101042104	10	100942867,100996047,101009532,101013078,101016240,101019582,101020143,101024704,101030971,101041831	100943120,100996301,101009739,101013307,101016433,101019733,101020301,101024923,101031186,101042104	nan	CERS3	nan	nan	0,0,0,0,0,0,0,0,0,0
6898	TAT;NM_000353.2	16	-	71601996	71610368	71601996	71610368	11	71601996,71602563,71603706,71604121,71604531,71605458,71606038,71606382,71607391,71609774,71610033	71602237,71602762,71603890,71604350,71604784,71605611,71606277,71606641,71607559,71609979,71610368	nan	TAT	nan	nan	0,0,0,0,0,0,0,0,0,0,0
242	ALOX12B;NM_001139.2	17	-	7976038	7990810	7976038	7990810	15	7976038,7976415,7976924,7978862,7979442,7979924,7980257,7982663,7983036,7983502,7983925,7984151,7984373,7989283,7990563	7976318,7976686,7977125,7979084,7979712,7980111,7980561,7982907,7983309,7983706,7984148,7984344,7984555,7989588,7990810	nan	ALOX12B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59344	ALOXE3;NM_001165960.1	17	-	7999894	8022146	7999894	8022146	16	7999894,8006590,8007382,8011735,8012441,8013183,8013359,8013652,8014626,8015360,8017751,8018205,8018874,8020043,8021111,8021963	8000174,8006861,8007583,8011957,8012711,8013370,8013663,8013896,8014899,8015564,8017977,8018425,8019056,8020348,8021671,8022146	nan	ALOXE3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224	ALDH3A2;NM_000382.2	17	+	19552234	19578935	19552234	19578935	10	19552234,19554809,19555809,19559628,19561007,19564389,19566595,19568210,19574983,19578820	19552487,19555141,19555995,19559937,19561225,19564631,19566862,19568410,19575319,19578935	nan	ALDH3A2	nan	nan	0,0,0,0,0,0,0,0,0,0
3858	KRT10;NM_000421.3	17	-	38974677	38978887	38974677	38978887	8	38974677,38974988,38975718,38976250,38976463,38976712,38977236,38978160	38974784,38975463,38976036,38976476,38976725,38976969,38977419,38978887	nan	KRT10	nan	nan	0,0,0,0,0,0,0,0
3857	KRT9;NM_000226.3	17	-	39723474	39728294	39723474	39728294	7	39723474,39724363,39724709,39725627,39726060,39726339,39727552	39724052,39724687,39724935,39725889,39726317,39726522,39728294	nan	KRT9	nan	nan	0,0,0,0,0,0,0
3868	KRT16;NM_005557.3	17	-	39766136	39768990	39766136	39768990	8	39766136,39766391,39766532,39767055,39767270,39767546,39767840,39768359	39766331,39766538,39766853,39767281,39767532,39767803,39768023,39768990	nan	KRT16	nan	nan	0,0,0,0,0,0,0,0
3872	KRT17;NM_000422.2	17	-	39775795	39780811	39775795	39780811	8	39775795,39776737,39776860,39777167,39777794,39778556,39779151,39780279	39775990,39776860,39777181,39777393,39778056,39778813,39779334,39780811	nan	KRT17	nan	nan	0,0,0,0,0,0,0,0
3728	JUP;NM_002230.3	17	-	39911945	39928156	39911945	39928156	13	39911945,39912376,39913616,39913835,39914600,39914916,39919184,39920914,39921124,39923580,39925170,39925619,39927848	39912197,39912516,39913838,39914086,39914820,39915172,39919623,39921118,39921369,39923882,39925509,39925979,39928156	nan	JUP	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0
79651	RHBDF2;NM_024599.5	17	-	74467664	74477656	74467664	74477656	17	74467664,74468717,74469036,74469283,74469679,74469870,74470064,74470404,74470761,74471061,74472861,74473211,74473688,74474837,74475113,74475764,74477406	74468184,74468971,74469237,74469459,74469874,74470034,74470274,74470666,74470936,74471273,74473156,74473430,74473917,74475141,74475409,74476073,74477656	nan	RHBDF2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79092	CARD14;NM_001257970.1	17	+	78155187	78176273	78155187	78176273	14	78155187,78156401,78157661,78162125,78163501,78164522,78165071,78166251,78168939,78169306,78171847,78172147,78175492,78175928	78155498,78156639,78158087,78162393,78163721,78164748,78165321,78166468,78169182,78169501,78172011,78172440,78175719,78176273	nan	CARD14	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828	DSG1;NM_001942.3	18	+	28898213	28935359	28898213	28935359	15	28898213,28906493,28906786,28908101,28909804,28911613,28913501,28913929,28916266,28918227,28919656,28923362,28923838,28925902,28934209	28898361,28906629,28907018,28908357,28910049,28911880,28913736,28914215,28916626,28918467,28920038,28923596,28924008,28926211,28935359	nan	DSG1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2531	KDSR;NM_002035.2	18	-	60998964	61034401	60998964	61034401	10	60998964,61002439,61005982,61011592,61018070,61022386,61022680,61026918,61029961,61034193	60999184,61002641,61006166,61011776,61018362,61022582,61022846,61027075,61030151,61034401	nan	KDSR	nan	nan	0,0,0,0,0,0,0,0,0,0
126410	CYP4F22;NM_173483.3	19	+	15636097	15662332	15636097	15662332	12	15636097,15640469,15648121,15648295,15648632,15651210,15654731,15654910,15658868,15659898,15661434,15662054	15636419,15640714,15648275,15648523,15648854,15651578,15654898,15655140,15659102,15660063,15661617,15662332	nan	CYP4F22	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
2068	ERCC2;NM_000400.3	19	-	45854836	45873848	45854836	45873848	23	45854836,45855416,45855713,45855953,45856290,45856449,45857937,45858872,45860477,45860681,45860837,45864731,45866950,45867193,45867442,45867631,45868045,45868249,45871837,45872137,45872277,45873340,45873743	45855029,45855660,45855957,45856124,45856463,45856642,45858159,45859036,45860679,45860851,45861007,45864950,45867219,45867427,45867639,45867855,45868262,45868466,45872051,45872300,45872455,45873540,45873848	nan	ERCC2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9342	SNAP29;NM_004782.3	22	+	21213348	21242174	21213348	21242174	5	21213348,21224574,21235286,21237708,21241916	21213685,21224871,21235472,21237907,21242174	nan	SNAP29	nan	nan	0,0,0,0,0
415	ARSE;NM_000047.2	X	-	2852822	2878491	2852822	2878491	10	2852822,2854732,2856085,2861055,2863988,2867294,2871133,2873406,2876264,2878368	2853281,2854954,2856348,2861290,2864225,2867818,2871356,2873628,2876526,2878491	nan	ARSE	nan	nan	0,0,0,0,0,0,0,0,0,0
412	STS;NM_000351.5	X	+	7137666	7268352	7137666	7268352	10	7137666,7171186,7175232,7175456,7177339,7193941,7223036,7243329,7251976,7267878	7137777,7171427,7175454,7175679,7177863,7194178,7223274,7243589,7252198,7268352	nan	STS	nan	nan	0,0,0,0,0,0,0,0,0,0
51360	MBTPS2;NM_015884.3	X	+	21857802	21900823	21857802	21900823	11	21857802,21861237,21863238,21869576,21871443,21886534,21887565,21896109,21896564,21898964,21900500	21857977,21861486,21863552,21869780,21871671,21886753,21887846,21896304,21896860,21899140,21900823	nan	MBTPS2	nan	nan	0,0,0,0,0,0,0,0,0,0,0
10682	EBP;NM_006579.2	X	+	48382109	48386895	48382109	48386895	4	48382109,48385326,48385492,48386571	48382510,48385463,48385723,48386895	nan	EBP	nan	nan	0,0,0,0
50814	NSDHL;NM_015922.2	X	+	152014818	152037710	152014818	152037710	7	152014818,152018758,152027263,152031089,152034312,152036064,152037277	152015026,152019017,152027510,152031318,152034555,152036267,152037710	nan	NSDHL	nan	nan	0,0,0,0,0,0,0
