chr,start,stop,gene,transcript,autosomal_recessive,autosomal_dominant,x_linked,condition
13,32953443,32953662,BRCA2,NM_000059.4,,,,
13,32953876,32954060,BRCA2,NM_000059.4,,,,
13,32954133,32954292,BRCA2,NM_000059.4,,,,
13,32968815,32969080,BRCA2,NM_000059.4,,,,
13,32971024,32971191,BRCA2,NM_000059.4,,,,
13,32972288,32972917,BRCA2,NM_000059.4,,,,
16,23614769,23615000,PALB2,NM_024675.4,,,,
16,23619174,23619343,PALB2,NM_024675.4,,,,
16,23625314,23625422,PALB2,NM_024675.4,,,,
16,23632672,23632809,PALB2,NM_024675.4,,,,
16,23634279,23634461,PALB2,NM_024675.4,,,,
16,23635319,23635425,PALB2,NM_024675.4,,,,
16,23637546,23637728,PALB2,NM_024675.4,,,,
16,23640514,23640606,PALB2,NM_024675.4,,,,
16,23640950,23641800,PALB2,NM_024675.4,,,,
16,23646172,23647665,PALB2,NM_024675.4,,,,
16,23649160,23649283,PALB2,NM_024675.4,,,,
16,23649380,23649460,PALB2,NM_024675.4,,,,
16,23652420,23652488,PALB2,NM_024675.4,,,,
17,41197684,41197829,BRCA1,NM_007294.4,,,,
17,41199649,41199730,BRCA1,NM_007294.4,,,,
17,41201127,41201221,BRCA1,NM_007294.4,,,,
17,41203069,41203144,BRCA1,NM_007294.4,,,,
17,41209058,41209162,BRCA1,NM_007294.4,,,,
17,41215339,41215400,BRCA1,NM_007294.4,,,,
17,41215880,41215978,BRCA1,NM_007294.4,,,,
17,41219614,41219722,BRCA1,NM_007294.4,,,,
17,41222934,41223265,BRCA1,NM_007294.4,,,,
17,41226337,41226548,BRCA1,NM_007294.4,,,,
17,41228494,41228641,BRCA1,NM_007294.4,,,,
17,41234410,41234602,BRCA1,NM_007294.4,,,,
17,41242950,41243059,BRCA1,NM_007294.4,,,,
17,41243441,41246887,BRCA1,NM_007294.4,,,,
17,41247852,41247949,BRCA1,NM_007294.4,,,,
17,41249250,41249316,BRCA1,NM_007294.4,,,,
17,41251781,41251907,BRCA1,NM_007294.4,,,,
17,41256128,41256288,BRCA1,NM_007294.4,,,,
17,41256874,41256984,BRCA1,NM_007294.4,,,,
17,41258462,41258560,BRCA1,NM_007294.4,,,,
17,41267732,41267806,BRCA1,NM_007294.4,,,,
17,41276023,41276123,BRCA1,NM_007294.4,,,,
22,29091855,29091858,CHEK2,NM_007194.3,,,,
