#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
127534	GJB4;NM_153212.2	1	+	35226845	35227666	35226845	35227666	1	35226845	35227666	nan	GJB4	nan	nan	0
27032	ATP2C1;NM_001001486.1	3	+	130613603	130735101	130613603	130735101	28	130613603,130649249,130650855,130653455,130656261,130659463,130660424,130672654,130673845,130674937,130678108,130682804,130683781,130685978,130686163,130688125,130694165,130698082,130699415,130711784,130712765,130714876,130715513,130716439,130717127,130718351,130720053,130734985	130613629,130649380,130650992,130653565,130656317,130659545,130660553,130672830,130673934,130675033,130678195,130682949,130683899,130686094,130686273,130688250,130694342,130698273,130699533,130711855,130712952,130714965,130715650,130716607,130717243,130718513,130720198,130735101	nan	ATP2C1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9076	CLDN1;NM_021101.4	3	-	190026055	190040005	190026055	190040005	4	190026055,190027947,190030650,190039762	190026238,190028052,190030835,190040005	nan	CLDN1	nan	nan	0,0,0,0
56916	SMARCAD1;NM_020159.4	4	+	95129535	95210695	95129535	95210695	23	95129535,95147259,95155094,95158092,95162046,95170794,95171892,95173756,95185847,95191868,95194757,95195878,95196030,95197479,95198162,95199562,95199756,95200069,95201732,95202612,95204261,95206100,95210613	95129745,95147457,95155283,95158179,95162167,95170916,95171994,95174168,95186067,95191979,95194877,95195958,95196126,95197635,95198320,95199678,95199894,95200211,95201941,95202751,95204464,95206230,95210695	nan	SMARCAD1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11005	SPINK5;NM_001127698.1	5	+	147443597	147516564	147443597	147516564	34	147443597,147444899,147449875,147451700,147465957,147468094,147469046,147470717,147473906,147475370,147477419,147478786,147480006,147480907,147481333,147484504,147486589,147488305,147491320,147492420,147493914,147495922,147497989,147498538,147499561,147499847,147503385,147504317,147505076,147505275,147506535,147510811,147513349,147516535	147443672,147444945,147450023,147451793,147466105,147468178,147469194,147470801,147474054,147475478,147477567,147478888,147480154,147481009,147481481,147484573,147486737,147488410,147491468,147492507,147494062,147496039,147498137,147498631,147499709,147499964,147503533,147504410,147505186,147505423,147506652,147510962,147513460,147516564	nan	SPINK5	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348938	NIPAL4;NM_001099287.1	5	+	156887132	156899978	156887132	156899978	6	156887132,156890091,156894046,156895719,156898654,156899329	156887375,156890351,156894123,156895830,156898835,156899978	nan	NIPAL4	nan	nan	0,0,0,0,0,0
1832	DSP;NM_004415.3	6	+	7542138	7586121	7542138	7586121	24	7542138,7555940,7558338,7559448,7562874,7563958,7565581,7566599,7567576,7568003,7568659,7569408,7570659,7571605,7572064,7574308,7574879,7575517,7576516,7577181,7578001,7578686,7579497,7582864	7542328,7556063,7558507,7559643,7563023,7564029,7565763,7566724,7567692,7568149,7568832,7569583,7570806,7571827,7572311,7574495,7575038,7575731,7576699,7577285,7578129,7578805,7581812,7586121	nan	DSP	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041	CDSN;NM_001264.4	6	-	31083791	31088206	31083791	31088206	2	31083791,31088101	31085316,31088206	nan	CDSN	nan	nan	0,0
285848	PNPLA1;NM_173676.2	6	+	36259166	36275503	36259166	36275503	7	36259166,36260827,36261956,36263130,36269627,36274058,36275353	36259339,36260913,36262186,36263211,36270256,36274163,36275503	nan	PNPLA1	nan	nan	0,0,0,0,0,0,0
6785	ELOVL4;NM_022726.3	6	-	80626314	80657006	80626314	80657006	6	80626314,80629126,80631331,80634658,80635900,80656886	80626610,80629274,80631523,80634759,80636108,80657006	nan	ELOVL4	nan	nan	0,0,0,0,0,0
2697	GJA1;NM_000165.4	6	+	121767983	121769152	121767983	121769152	1	121767983	121769152	nan	GJA1	nan	nan	0
5191	PEX7;NM_000288.3	6	+	137143793	137234674	137143793	137234674	10	137143793,137146341,137147446,137166742,137167200,137187754,137191017,137193325,137219269,137234585	137143943,137146419,137147617,137166840,137167329,137187881,137191151,137193401,137219389,137234674	nan	PEX7	nan	nan	0,0,0,0,0,0,0,0,0,0
404672	GTF2H5;NM_207118.2	6	+	158591525	158613199	158591525	158613199	2	158591525,158612998	158591580,158613199	nan	GTF2H5	nan	nan	0,0
136647	MPLKIP;NM_138701.3	7	-	40172647	40174176	40172647	40174176	2	40172647,40173817	40172868,40174176	nan	MPLKIP	nan	nan	0,0
1174	AP1S1;NM_001283.4	7	+	100797785	100803857	100797785	100803857	5	100797785,100799864,100800647,100802329,100803789	100797808,100800063,100800776,100802487,100803857	nan	AP1S1	nan	nan	0,0,0,0,0
57152	SLURP1;NM_020427.2	8	-	143822550	143823813	143822550	143823813	3	143822550,143823210,143823735	143822704,143823350,143823813	nan	SLURP1	nan	nan	0,0,0
10999	SLC27A4;NM_005094.3	9	+	131105401	131122780	131105401	131122780	12	131105401,131107423,131110813,131112580,131112752,131114906,131115293,131115683,131117321,131117666,131117918,131122602	131105582,131107838,131110992,131112670,131112864,131115036,131115523,131115830,131117479,131117851,131118085,131122780	nan	SLC27A4	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
5264	PHYH;NM_001037537.1	10	-	13320290	13336551	13320290	13336551	6	13320290,13322965,13325679,13330349,13333820,13336417	13320364,13323120,13325849,13330551,13333922,13336551	nan	PHYH	nan	nan	0,0,0,0,0,0
643418	LIPN;NM_001102469.1	10	+	90521152	90538009	90521152	90538009	9	90521152,90521934,90524156,90526015,90528538,90530591,90534219,90534838,90537755	90521280,90522072,90524375,90526145,90528695,90530758,90534311,90534930,90538009	nan	LIPN	nan	nan	0,0,0,0,0,0,0,0,0
57104	PNPLA2;NM_020376.3	11	+	819708	824872	819708	824872	9	819708,821617,821947,822386,823516,823683,823987,824303,824512	819915,821870,822033,822616,823597,823865,824140,824446,824872	nan	PNPLA2	nan	nan	0,0,0,0,0,0,0,0,0
1075	CTSC;NM_001814.5	11	-	88027163	88070850	88027163	88070850	7	88027163,88029290,88033687,88042320,88045545,88068094,88070658	88027686,88029442,88033823,88042496,88045732,88068260,88070850	nan	CTSC	nan	nan	0,0,0,0,0,0,0
6768	ST14;NM_021978.3	11	+	130029864	130079728	130029864	130079728	19	130029864,130057998,130058414,130058753,130059623,130059997,130060338,130064033,130064524,130066223,130066454,130067725,130068192,130068392,130068831,130069835,130078294,130079326,130079546	130029965,130058178,130058562,130058844,130059801,130060053,130060599,130064193,130064642,130066353,130066605,130067850,130068323,130068526,130068974,130070042,130078589,130079483,130079728	nan	ST14	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362	AQP5;NM_001651.3	12	+	50355790	50358970	50355790	50358970	4	50355790,50357264,50357864,50358764	50356173,50357449,50357968,50358970	nan	AQP5	nan	nan	0,0,0,0
3854	KRT6B;NM_005555.3	12	-	52840963	52845872	52840963	52845872	9	52840963,52841312,52841551,52842615,52843242,52843531,52843785,52844179,52845312	52841219,52841367,52841792,52842761,52843427,52843647,52843866,52844414,52845872	nan	KRT6B	nan	nan	0,0,0,0,0,0,0,0,0
286887	KRT6C;NM_173086.4	12	-	52862835	52867531	52862835	52867531	9	52862835,52863184,52863443,52864278,52864905,52865194,52865445,52865839,52866971	52863091,52863239,52863684,52864424,52865090,52865310,52865526,52866074,52867531	nan	KRT6C	nan	nan	0,0,0,0,0,0,0,0,0
3853	KRT6A;NM_005554.3	12	-	52881493	52886982	52881493	52886982	9	52881493,52881842,52882101,52883716,52884342,52884631,52884885,52885295,52886422	52881749,52881897,52882342,52883862,52884527,52884747,52884966,52885530,52886982	nan	KRT6A	nan	nan	0,0,0,0,0,0,0,0,0
3849	KRT2;NM_000423.2	12	-	53038792	53045936	53038792	53045936	9	53038792,53039308,53040513,53041503,53041946,53042780,53043687,53044112,53045331	53039228,53039363,53040754,53041649,53042131,53042896,53043768,53044347,53045936	nan	KRT2	nan	nan	0,0,0,0,0,0,0,0,0
3848	KRT1;NM_006121.3	12	-	53068966	53074142	53068966	53074142	9	53068966,53069483,53070048,53070832,53071089,53071423,53071936,53072315,53073531	53069411,53069538,53070289,53070978,53071274,53071539,53072017,53072550,53074142	nan	KRT1	nan	nan	0,0,0,0,0,0,0,0,0
488	ATP2A2;NM_001681.3	12	+	110719584	110788120	110719584	110788120	21	110719584,110720398,110720507,110729814,110734393,110760786,110764184,110765347,110770391,110770975,110771806,110777075,110777297,110778453,110780022,110781026,110782680,110783043,110783795,110783995,110788086	110719722,110720436,110720610,110729939,110734552,110760887,110764290,110765832,110770500,110771098,110771958,110777218,110777536,110778809,110780263,110781249,110782786,110783197,110783933,110784136,110788120	nan	ATP2A2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706	GJB2;NM_004004.5	13	-	20763029	20763730	20763029	20763730	1	20763029	20763730	nan	GJB2	nan	nan	0
10804	GJB6;NM_006783.4	13	-	20796823	20797629	20796823	20797629	1	20796823	20797629	nan	GJB6	nan	nan	0
51371	POMP;NM_015932.5	13	+	29233311	29252249	29233311	29252249	6	29233311,29236536,29238635,29242599,29246465,29252161	29233334,29236654,29238716,29242721,29246579,29252249	nan	POMP	nan	nan	0,0,0,0,0,0
7051	TGM1;NM_000359.2	14	-	24718508	24731568	24718508	24731568	14	24718508,24723347,24723859,24724167,24724559,24725184,24727480,24727730,24728270,24728899,24729135,24729645,24730890,24731229	24718757,24723504,24724040,24724469,24724733,24725293,24727604,24727889,24728465,24729027,24729274,24729914,24731099,24731568	nan	TGM1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
9333	TGM5;NM_004245.3	15	-	43525378	43559057	43525378	43559057	12	43525378,43525741,43526956,43527656,43531004,43531350,43533039,43544946,43545693,43548755,43552587,43559027	43525552,43525895,43527137,43528045,43531264,43531474,43533198,43545144,43545842,43548894,43552787,43559057	nan	TGM5	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
79719	AAGAB;NM_024666.4	15	-	67495148	67546979	67495148	67546979	10	67495148,67495875,67496371,67500889,67501789,67524141,67528306,67528735,67528957,67546886	67495246,67495945,67496496,67501006,67501892,67524245,67528416,67528852,67529168,67546979	nan	AAGAB	nan	nan	0,0,0,0,0,0,0,0,0,0
26276	VPS33B;NM_018668.4	15	-	91542194	91565489	91542194	91565489	23	91542194,91542896,91543119,91543709,91544608,91545269,91546304,91548096,91548274,91548599,91548913,91549192,91549591,91549871,91550169,91550688,91551089,91553020,91557023,91557603,91560182,91561024,91565373	91542294,91543033,91543215,91543831,91544702,91545422,91546371,91548171,91548359,91548694,91549024,91549299,91549685,91549969,91550286,91550813,91551204,91553086,91557111,91557673,91560264,91561125,91565489	nan	VPS33B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204219	CERS3;NM_178842.4	15	-	100942907	101042064	100942907	101042064	10	100942907,100996087,101009572,101013118,101016280,101019622,101020183,101024744,101031011,101041871	100943080,100996261,101009699,101013267,101016393,101019693,101020261,101024883,101031146,101042064	nan	CERS3	nan	nan	0,0,0,0,0,0,0,0,0,0
6898	TAT;NM_000353.2	16	-	71602036	71610328	71602036	71610328	11	71602036,71602603,71603746,71604161,71604571,71605498,71606078,71606422,71607431,71609814,71610073	71602197,71602722,71603850,71604310,71604744,71605571,71606237,71606601,71607519,71609939,71610328	nan	TAT	nan	nan	0,0,0,0,0,0,0,0,0,0,0
242	ALOX12B;NM_001139.2	17	-	7976078	7990770	7976078	7990770	15	7976078,7976455,7976964,7978902,7979482,7979964,7980297,7982703,7983076,7983542,7983965,7984191,7984413,7989323,7990603	7976278,7976646,7977085,7979044,7979672,7980071,7980521,7982867,7983269,7983666,7984108,7984304,7984515,7989548,7990770	nan	ALOX12B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59344	ALOXE3;NM_001165960.1	17	-	7999934	8022106	7999934	8022106	16	7999934,8006630,8007422,8011775,8012481,8013223,8013399,8013692,8014666,8015400,8017791,8018245,8018914,8020083,8021151,8022003	8000134,8006821,8007543,8011917,8012671,8013330,8013623,8013856,8014859,8015524,8017937,8018385,8019016,8020308,8021631,8022106	nan	ALOXE3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224	ALDH3A2;NM_000382.2	17	+	19552274	19578895	19552274	19578895	10	19552274,19554849,19555849,19559668,19561047,19564429,19566635,19568250,19575023,19578860	19552447,19555101,19555955,19559897,19561185,19564591,19566822,19568370,19575279,19578895	nan	ALDH3A2	nan	nan	0,0,0,0,0,0,0,0,0,0
3858	KRT10;NM_000421.3	17	-	38974717	38978847	38974717	38978847	8	38974717,38975028,38975758,38976290,38976503,38976752,38977276,38978200	38974744,38975423,38975996,38976436,38976685,38976929,38977379,38978847	nan	KRT10	nan	nan	0,0,0,0,0,0,0,0
3857	KRT9;NM_000226.3	17	-	39723514	39728254	39723514	39728254	7	39723514,39724403,39724749,39725667,39726100,39726379,39727592	39724012,39724647,39724895,39725849,39726277,39726482,39728254	nan	KRT9	nan	nan	0,0,0,0,0,0,0
3868	KRT16;NM_005557.3	17	-	39766176	39768950	39766176	39768950	8	39766176,39766431,39766572,39767095,39767310,39767586,39767880,39768399	39766291,39766498,39766813,39767241,39767492,39767763,39767983,39768950	nan	KRT16	nan	nan	0,0,0,0,0,0,0,0
3872	KRT17;NM_000422.2	17	-	39775835	39780771	39775835	39780771	8	39775835,39776777,39776900,39777207,39777834,39778596,39779191,39780319	39775950,39776820,39777141,39777353,39778016,39778773,39779294,39780771	nan	KRT17	nan	nan	0,0,0,0,0,0,0,0
3728	JUP;NM_002230.3	17	-	39911985	39928116	39911985	39928116	13	39911985,39912416,39913656,39913875,39914640,39914956,39919224,39920954,39921164,39923620,39925210,39925659,39927888	39912157,39912476,39913798,39914046,39914780,39915132,39919583,39921078,39921329,39923842,39925469,39925939,39928116	nan	JUP	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0
79651	RHBDF2;NM_024599.5	17	-	74467704	74477616	74467704	74477616	17	74467704,74468757,74469076,74469323,74469719,74469910,74470104,74470444,74470801,74471101,74472901,74473251,74473728,74474877,74475153,74475804,74477446	74468144,74468931,74469197,74469419,74469834,74469994,74470234,74470626,74470896,74471233,74473116,74473390,74473877,74475101,74475369,74476033,74477616	nan	RHBDF2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79092	CARD14;NM_001257970.1	17	+	78155227	78176233	78155227	78176233	14	78155227,78156441,78157701,78162165,78163541,78164562,78165111,78166291,78168979,78169346,78171887,78172187,78175532,78175968	78155458,78156599,78158047,78162353,78163681,78164708,78165281,78166428,78169142,78169461,78171971,78172400,78175679,78176233	nan	CARD14	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828	DSG1;NM_001942.3	18	+	28898253	28935319	28898253	28935319	15	28898253,28906533,28906826,28908141,28909844,28911653,28913541,28913969,28916306,28918267,28919696,28923402,28923878,28925942,28934249	28898321,28906589,28906978,28908317,28910009,28911840,28913696,28914175,28916586,28918427,28919998,28923556,28923968,28926171,28935319	nan	DSG1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2531	KDSR;NM_002035.2	18	-	60999004	61034361	60999004	61034361	10	60999004,61002479,61006022,61011632,61018110,61022426,61022720,61026958,61030001,61034233	60999144,61002601,61006126,61011736,61018322,61022542,61022806,61027035,61030111,61034361	nan	KDSR	nan	nan	0,0,0,0,0,0,0,0,0,0
126410	CYP4F22;NM_173483.3	19	+	15636137	15662292	15636137	15662292	12	15636137,15640509,15648161,15648335,15648672,15651250,15654771,15654950,15658908,15659938,15661474,15662094	15636379,15640674,15648235,15648483,15648814,15651538,15654858,15655100,15659062,15660023,15661577,15662292	nan	CYP4F22	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
2068	ERCC2;NM_000400.3	19	-	45854876	45873808	45854876	45873808	23	45854876,45855456,45855753,45855993,45856330,45856489,45857977,45858912,45860517,45860721,45860877,45864771,45866990,45867233,45867482,45867671,45868085,45868289,45871877,45872177,45872317,45873380,45873783	45854989,45855620,45855917,45856084,45856423,45856602,45858119,45858996,45860639,45860811,45860967,45864910,45867179,45867387,45867599,45867815,45868222,45868426,45872011,45872260,45872415,45873500,45873808	nan	ERCC2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9342	SNAP29;NM_004782.3	22	+	21213388	21242134	21213388	21242134	5	21213388,21224614,21235326,21237748,21241956	21213645,21224831,21235432,21237867,21242134	nan	SNAP29	nan	nan	0,0,0,0,0
415	ARSE;NM_000047.2	X	-	2852862	2878451	2852862	2878451	10	2852862,2854772,2856125,2861095,2864028,2867334,2871173,2873446,2876304,2878408	2853241,2854914,2856308,2861250,2864185,2867778,2871316,2873588,2876486,2878451	nan	ARSE	nan	nan	0,0,0,0,0,0,0,0,0,0
412	STS;NM_000351.5	X	+	7137706	7268312	7137706	7268312	10	7137706,7171226,7175272,7175496,7177379,7193981,7223076,7243369,7252016,7267918	7137737,7171387,7175414,7175639,7177823,7194138,7223234,7243549,7252158,7268312	nan	STS	nan	nan	0,0,0,0,0,0,0,0,0,0
51360	MBTPS2;NM_015884.3	X	+	21857842	21900783	21857842	21900783	11	21857842,21861277,21863278,21869616,21871483,21886574,21887605,21896149,21896604,21899004,21900540	21857937,21861446,21863512,21869740,21871631,21886713,21887806,21896264,21896820,21899100,21900783	nan	MBTPS2	nan	nan	0,0,0,0,0,0,0,0,0,0,0
10682	EBP;NM_006579.2	X	+	48382149	48386855	48382149	48386855	4	48382149,48385366,48385532,48386611	48382470,48385423,48385683,48386855	nan	EBP	nan	nan	0,0,0,0
50814	NSDHL;NM_015922.2	X	+	152014858	152037670	152014858	152037670	7	152014858,152018798,152027303,152031129,152034352,152036104,152037317	152014986,152018977,152027470,152031278,152034515,152036227,152037670	nan	NSDHL	nan	nan	0,0,0,0,0,0,0
