DOC333,Revision1,,,
AP3D1,NM,1261826,,
AP4B1,NM,6594,,
AP4E1,NM,7347,,
AP4M1,NM,4722,,
AP4S1,NM,1128126,,
AP5Z1,NM,14855,,
APOA1,NM,39,,
APP,NM,484,,
APTX,NM,175073,,
ARG1,NM,45,,
ARHGEF10,NM,14629,,
ARHGEF28,NM,1080479,,
ARL6IP1,NM,15161,,
ARPC1B,NM,5720,,
ARSA,NM,487,,
ARX,NM,139058,,
ATAD1,NM,32810,,
ATCAY,NM,33064,,
ATL1,NM,15915,,
ATL1,NM,1127713,,
ATL3,NM,15459,,
ATM,NM,51,,
ATP13A2,NM,22089,,
ATP1A1,NM,701,,
ATP1A2,NM,702,,
ATP1A3,NM,152296,,
ATP2B3,NM,21949,,
ATP6AP2,NM,5765,,
ATP7A,NM,52,,
ATP7B,NM,53,,
ATXN1,NM,332,,
ATXN10,NM,13236,,
ATXN7,NM,333,,
AUH,NM,1698,,
B3GALNT2,NM,152490,,
B4GALNT1,NM,1478,,
B4GAT1,NM,6876,,
BAG3,NM,4281,,
BCAP31,NM,5745,,
BCKDHB,NM,183050,,
BCS1L,NM,4328,,
BICD2,NM,1003800,,
BIN1,NM,139343,,
BLM,NM,57,,
BLOC1S3,NM,212550,,
BLOC1S6,NM,12388,,
BRCA1,NM,7294,,
BRCA2,NM,59,,
BRIP1,NM,32043,,
BSCL2,NM,1122955,,
BSCL2,NM,32667,,
C12orf65,NM,152269,,
C19orf12,NM,1031726,,
C9orf72,NM,1256054,,
CA8,NM,4056,,
CACNA1A,NM,1127221,,
CACNA1G,NM,18896,,
CACNA1S,NM,69,,
CACNB4,NM,726,,
CAPN1,NM,5186,,
CAPN3,NM,70,,
CASQ1,NM,1231,,
CAV3,NM,33337,,
CCDC78,NM,1031737,,
CCDC88C,NM,1080414,,
CCNF,NM,1761,,
CD59,NM,203330,,
CDC42,NM,1791,,
CDC42,NM,44472,,
CDKN2A,NM,77,,
CDKN2A,NM,58195,,
CFL2,NM,138638,,
CHCHD10,NM,213720,,
CHCHD2,NM,16139,,
CHKB,NM,5198,,
CHMP2B,NM,14043,,
CHST14,NM,130468,,
CIZ1,NM,12127,,
CLCN2,NM,4366,,
CLN3,NM,86,,
CLN3,NM,1042432,,
CLN5,NM,6493,,
CLN6,NM,17882,,
CLN8,NM,18941,,
CLPB,NM,1258392,,
CNTN1,NM,1843,,
CNTNAP1,NM,3632,,
COA7,NM,23077,,
COASY,NM,25233,,
COL12A1,NM,4370,,
COL1A1,NM,88,,
COL3A1,NM,90,,
COL4A1,NM,1845,,
COL4A2,NM,1846,,
COL5A1,NM,93,,
COL5A1,NM,1278074,,
COL5A2,NM,393,,
COL6A1,NM,1848,,
COL6A2,NM,1849,,
COL6A3,NM,4369,,
COQ2,NM,15697,,
COX10,NM,1303,,
COX15,NM,78470,,
COX15,NM,4376,,
COX6A1,NM,4373,,
CP,NM,96,,
CPOX,NM,97,,
CPT1C,NM,152359,,
CPT2,NM,98,,
CRYAB,NM,1885,,
CSF1R,NM,5211,,
CSNK1D,NM,139062,,
CSTB,NM,100,,
CTC1,NM,25099,,
CTDP1,NM,4715,,
CTSA,NM,308,,
CTSD,NM,1909,,
CTSF,NM,3793,,
CWF19L1,NM,18294,,
CYCS,NM,18947,,
CYP27A1,NM,784,,
CYP2U1,NM,183075,,
CYP7B1,NM,4820,,
DAG1,NM,1165928,,
DAO,NM,1917,,
DARS1,NM,1349,,
DARS2,NM,18122,,
DCAF17,NM,25000,,
DCTN1,NM,4082,,
DDB1,NM,1923,,
DDB2,NM,107,,
DDC,NM,1082971,,
DDHD1,NM,1160147,,
DDHD2,NM,15214,,
DEGS1,NM,3676,,
DES,NM,1927,,
DGUOK,NM,80916,,
DIAPH1,NM,5219,,
DLAT,NM,1931,,
DLD,NM,108,,
DMD,NM,4006,,
DMPK,NM,4409,,
DNAJB2,NM,1039550,,
DNAJB6,NM,58246,,
DNAJC12,NM,21800,,
DNAJC13,NM,15268,,
DNAJC3,NM,6260,,
DNAJC5,NM,25219,,
DNAJC6,NM,1256864,,
DNM2,NM,1005360,,
DNM2,NM,1005361,,
DNMT1,NM,1130823,,
DOK7,NM,173660,,
DOLK,NM,14908,,
DPM1,NM,3859,,
DPM2,NM,3863,,
DPM3,NM,153741,,
DRP2,NM,1939,,
DST,NM,1723,,
DSTYK,NM,15375,,
DTNBP1,NM,32122,,
DTNBP1,NM,183040,,
DYNC1H1,NM,1376,,
DYRK1A,NM,1396,,
DYSF,NM,3494,,
DYSF,NM,1130987,,
EARS2,NM,1083614,,
ECEL1,NM,4826,,
ECHS1,NM,4092,,
EGR2,NM,399,,
EIF2B1,NM,1414,,
EIF2B2,NM,14239,,
EIF2B3,NM,20365,,
EIF2B4,NM,1034116,,
EIF2B5,NM,3907,,
EIF4G1,NM,182917,,
ELOVL4,NM,22726,,
ELP1,NM,3640,,
EMD,NM,117,,
ENG,NM,118,,
ENG,NM,1114753,,
ENTPD1,NM,1776,,
EPG5,NM,20964,,
EPHB2,NM,4442,,
EPHB2,NM,17449,,
EPM2A,NM,5670,,
ERBB4,NM,5235,,
ERCC1,NM,1983,,
ERCC2,NM,400,,
ERCC3,NM,122,,
ERCC4,NM,5236,,
ERCC5,NM,123,,
ERCC6,NM,124,,
ERCC8,NM,82,,
ERLIN1,NM,6459,,
ERLIN2,NM,7175,,
ERLIN2,NM,1003791,,
ETFDH,NM,4453,,
ETV6,NM,1987,,
EWSR1,NM,5243,,
F10,NM,504,,
F11,NM,128,,
F12,NM,505,,
F13A1,NM,129,,
F13B,NM,1994,,
F2,NM,506,,
F2R,NM,1992,,
F3,NM,1993,,
F5,NM,130,,
F7,NM,131,,
F8,NM,132,,
F9,NM,133,,
FA2H,NM,24306,,
FAH,NM,137,,
FAM126A,NM,32581,,
FANCA,NM,135,,
FANCB,NM,1018113,,
FANCC,NM,136,,
FANCD2,NM,1018115,,
FANCD2,NM,33084,,
FANCE,NM,21922,,
FANCF,NM,22725,,
FANCG,NM,4629,,
FANCI,NM,1113378,,
FANCL,NM,1114636,,
FANCL,NM,18062,,
FARS2,NM,6567,,
FBLN5,NM,6329,,
FBXO38,NM,205836,,
FBXO7,NM,12179,,
FERMT3,NM,178443,,
FGA,NM,508,,
FGB,NM,5141,,
FGD4,NM,139241,,
FGD4,NM,1304481,,
FGD4,NM,1304480,,
FGF14,NM,4115,,
FGG,NM,509,,
FHL1,NM,1159699,,
FHL1,NM,1159702,,
FIG4,NM,14845,,
FKBP14,NM,17946,,
FKRP,NM,24301,,
FKTN,NM,1079802,,
FLI1,NM,1167681,,
FLI1,NM,1271010,,
FLI1,NM,1271012,,
FLI1,NM,2017,,
FLNA,NM,1110556,,
FLNC,NM,1458,,
FLVCR1,NM,14053,,
FOLR1,NM,16729,,
FOXG1,NM,5249,,
FOXRED1,NM,17547,,
FTL,NM,146,,
FUS,NM,4960,,
FXN,NM,144,,
FXR1,NM,5087,,
FYB1,NM,1465,,
GAA,NM,152,,
GAD1,NM,817,,
GALC,NM,153,,
GALE,NM,403,,
GAN,NM,22041,,
GARS1,NM,2047,,
GATA1,NM,2049,,
GBA,NM,157,,
GBA2,NM,20944,,
GBE1,NM,158,,
GCDH,NM,159,,
GCH1,NM,161,,
GDAP1,NM,18972,,
GFAP,NM,2055,,
GFI1B,NM,4188,,
GGCX,NM,821,,
GIGYF2,NM,1103146,,
GJA1,NM,165,,
GJB1,NM,166,,
GJC2,NM,20435,,
GLA,NM,169,,
GLB1,NM,404,,
GLRA1,NM,1146040,,
GLRB,NM,824,,
GM2A,NM,405,,
GMPPB,NM,13334,,
GNAL,NM,182978,,
GNAO1,NM,20988,,
GNB4,NM,21629,,
GNE,NM,1128227,,
GNE,NM,5476,,
GOLGA2,NM,4486,,
GP1BA,NM,173,,
GP1BB,NM,407,,
GP6,NM,16363,,
GP6,NM,1256017,,
GP6,NM,1083899,,
GP9,NM,174,,
GRID2,NM,1510,,
GRM1,NM,1278064,,
GRN,NM,2087,,
GTF2E2,NM,2095,,
GTF2H5,NM,207118,,
GTPBP2,NM,19096,,
HACD1,NM,14241,,
HACE1,NM,20771,,
HADHA,NM,182,,
HADHB,NM,183,,
HARS1,NM,2109,,
HCFC1,NM,5334,,
HEPACAM,NM,152722,,
HEXA,NM,520,,
HEXB,NM,521,,
HIBCH,NM,14362,,
HINT1,NM,5340,,
HK1,NM,33500,,
HMBS,NM,190,,
HMGCL,NM,191,,
HNRNPA1,NM,31157,,
HNRNPA2B1,NM,2137,,
HNRNPDL,NM,31372,,
HOXA11,NM,5523,,
HPCA,NM,2143,,
HPRT1,NM,194,,
HPS1,NM,195,,
HPS3,NM,32383,,
HPS4,NM,22081,,
HPS4,NM,152841,,
HPS5,NM,181507,,
HPS6,NM,24747,,
HRG,NM,412,,
HSPB1,NM,1540,,
HSPB8,NM,14365,,
HSPD1,NM,2156,,
HTRA1,NM,2775,,
HTRA2,NM,13247,,
IARS2,NM,18060,,
IBA57,NM,1010867,,
IFIH1,NM,22168,,
IGHMBP2,NM,2180,,
INF2,NM,22489,,
INPP5K,NM,16532,,
CRPPA,NM,1101426,,
ITGA2B,NM,419,,
ITGA7,NM,2206,,
ITGA7,NM,1144997,,
ITGB3,NM,212,,
ITM2B,NM,21999,,
ITPR1,NM,1168272,,
KBTBD13,NM,1101362,,
KCNA1,NM,217,,
KCNA2,NM,4974,,
KCNC3,NM,4977,,
KCND3,NM,4980,,
KCNK18,NM,181840,,
KCNMA1,NM,1161352,,
KCNQ2,NM,172107,,
KCTD17,NM,1282684,,
KDM5C,NM,4187,,
KDSR,NM,2035,,
MYORG,NM,20702,,
KIDINS220,NM,20738,,
KIF1A,NM,1244008,,
KIF1A,NM,4321,,
KIF1C,NM,6612,,
KIF5A,NM,4984,,
KLHL40,NM,152393,,
KLHL41,NM,6063,,
KLKB1,NM,892,,
KMT2B,NM,14727,,
KNG1,NM,893,,
KNG1,NM,1102416,,
KY,NM,178554,,
L1CAM,NM,425,,
L2HGDH,NM,24884,,
LAMA2,NM,426,,
LAMP2,NM,2294,,
LAMP2,NM,13995,,
LAMP2,NM,1122606,,
LARGE1,NM,4737,,
LIG4,NM,2312,,
LITAF,NM,1136473,,
LMAN1,NM,5570,,
LMNA,NM,170707,,
LMNB1,NM,5573,,
LMOD3,NM,198271,,
LPIN1,NM,145693,,
LRPPRC,NM,133259,,
LRRK2,NM,198578,,
LRSAM1,NM,138361,,
LYST,NM,81,,
LYST,NM,1301365,,
MAD2L2,NM,6341,,
MAG,NM,2361,,
MAP3K20,NM,16653,,
MAPT,NM,16835,,
MAPT,NM,1123066,,
MARS1,NM,4990,,
MARS2,NM,138395,,
MATR3,NM,199189,,
MCFD2,NM,139279,,
MCM3AP,NM,3906,,
MCOLN1,NM,20533,,
MECOM,NM,4991,,
MECR,NM,16011,,
MEGF10,NM,32446,,
MFN2,NM,14874,,
MICU1,NM,6077,,
MRTFA,NM,20831,,
MMACHC,NM,15506,,
MME,NM,902,,
MOG,NM,206809,,
MORC2,NM,1303256,,
MPIG6B,NM,25260,,
MPIG6B,NM,138272,,
MPL,NM,5373,,
MPLKIP,NM,138701,,
MPV17,NM,2437,,
MPZ,NM,530,,
MRE11,NM,5591,,
MSTO1,NM,18116,,
MTFMT,NM,139242,,
MTHFR,NM,5957,,
MTM1,NM,252,,
MTMR14,NM,1077525,,
MTMR2,NM,16156,,
MTPAP,NM,18109,,
MTTP,NM,253,,
MYBPC1,NM,2465,,
MYBPC3,NM,256,,
MYF5,NM,5593,,
MYH14,NM,1145809,,
MYH2,NM,17534,,
MYH3,NM,2470,,
MYH7,NM,257,,
MYH8,NM,2472,,
MYH9,NM,2473,,
MYL1,NM,79420,,
MYMK,NM,1080483,,
MYO18B,NM,32608,,
MYOT,NM,6790,,
MYPN,NM,32578,,
NAGA,NM,262,,
NBEA,NM,15678,,
NBEA,NM,1204197,,
NBEAL2,NM,15175,,
NDRG1,NM,6096,,
NDUFA1,NM,4541,,
NDUFA10,NM,4544,,
NDUFAF5,NM,24120,,
NDUFAF6,NM,152416,,
NDUFS1,NM,5006,,
NDUFS4,NM,2495,,
NDUFS7,NM,24407,,
NDUFS8,NM,2496,,
NDUFV1,NM,7103,,
NEB,NM,1271208,,
NEFH,NM,21076,,
NEFL,NM,6158,,
NEK1,NM,1199397,,
NGF,NM,2506,,
NGLY1,NM,18297,,
NHEJ1,NM,24782,,
NHLRC1,NM,198586,,
NIPA1,NM,144599,,
NKX2-1,NM,1079668,,
NKX6-2,NM,177400,,
NOP56,NM,6392,,
NOTCH3,NM,435,,
NPC1,NM,271,,
NPC2,NM,6432,,
NR4A2,NM,6186,,
NT5C2,NM,12229,,
NTRK1,NM,1007792,,
NTRK1,NM,1012331,,
NTRK1,NM,2529,,
OCLN,NM,2538,,
OCRL,NM,276,,
OPA1,NM,15560,,
OPA1,NM,130837,,
OPA3,NM,1017989,,
OPA3,NM,25136,,
OPTN,NM,1008211,,
ORAI1,NM,32790,,
P2RX1,NM,2558,,
P2RY12,NM,22788,,
PAH,NM,277,,
PALB2,NM,24675,,
PANK2,NM,153638,,
PARK7,NM,7262,,
PAX7,NM,2584,,
PCCA,NM,282,,
PCCB,NM,532,,
PCDH12,NM,16580,,
PDE10A,NM,1130690,,
PDE2A,NM,2599,,
PDGFB,NM,2608,,
PDGFRB,NM,2609,,
PDHA1,NM,284,,
PDHX,NM,3477,,
PDK3,NM,5391,,
PDYN,NM,24411,,
PET100,NM,1171155,,
PEX1,NM,466,,
PEX10,NM,153818,,
PEX11B,NM,3846,,
PEX12,NM,286,,
PEX13,NM,2618,,
PEX14,NM,4565,,
PEX16,NM,57174,,
PEX19,NM,2857,,
PEX2,NM,318,,
PEX26,NM,17929,,
PEX3,NM,3630,,
PEX5,NM,319,,
PEX6,NM,287,,
PEX7,NM,288,,
PFKM,NM,289,,
PFN1,NM,5022,,
PHKA1,NM,2637,,
PHYH,NM,6214,,
PIEZO2,NM,22068,,
PIGA,NM,2641,,
PINK1,NM,32409,,
PLA2G4A,NM,24420,,
PLA2G6,NM,3560,,
PLAT,NM,930,,
PLAU,NM,2658,,
PLAU,NM,1145031,,
PLEC,NM,445,,
PLEKHG5,NM,20631,,
PLG,NM,301,,
PLG,NM,1168338,,
PLP1,NM,533,,
PMM2,NM,303,,
PMP2,NM,2677,,
PMP22,NM,304,,
PNKD,NM,15488,,
PNKP,NM,7254,,
PNPLA6,NM,1166111,,
POGLUT1,NM,152305,,
POLG,NM,2693,,
POLH,NM,6502,,
POLR1C,NM,203290,,
POLR3A,NM,7055,,
POLR3B,NM,18082,,
POMGNT1,NM,1243766,,
POMGNT1,NM,17739,,
POMGNT2,NM,32806,,
POMK,NM,32237,,
POMT1,NM,7171,,
POMT2,NM,13382,,
PPA2,NM,176869,,
PPOX,NM,1122764,,
PPP2R2B,NM,181678,,
PRDM12,NM,21619,,
PRKACG,NM,2732,,
PRKCG,NM,2739,,
PRKN,NM,4562,,
PRKRA,NM,3690,,
PRNP,NM,311,,
PROC,NM,312,,
PROCR,NM,6404,,
PROS1,NM,313,,
PROZ,NM,1256134,,
PRPH,NM,6262,,
PRPS1,NM,2764,,
PRRT2,NM,145239,,
PRX,NM,20956,,
PRX,NM,181882,,
PSAP,NM,2778,,
PSEN1,NM,21,,
PSEN2,NM,447,,
PTCH1,NM,264,,
PTCH1,NM,1083602,,
PTEN,NM,314,,
PTGS1,NM,962,,
PTPN11,NM,2834,,
PTPRJ,NM,2843,,
PTRH2,NM,16077,,
PTS,NM,317,,
PYGM,NM,5609,,
PYROXD1,NM,24854,,
QDPR,NM,320,,
RAB39B,NM,171998,,
RAB7A,NM,4637,,
RAD51C,NM,58216,,
RASGRP2,NM,153819,,
RBM8A,NM,5105,,
REEP1,NM,1164730,,
REEP1,NM,22912,,
REEP2,NM,16606,,
RETREG1,NM,1034850,,
RGS2,NM,2923,,
RNASEH2A,NM,6397,,
RNASEH2B,NM,1142279,,
RNASEH2B,NM,24570,,
RNASEH2C,NM,32193,,
RNASET2,NM,3730,,
RNF113A,NM,6978,,
RNF216,NM,207111,,
RNU4ATAC,NR,23343,,
RPS6KA3,NM,4586,,
RTN2,NM,5619,,
RUNX1,NM,1754,,
RYR1,NM,540,,
RYR3,NM,1036,,
SACS,NM,14363,,
SAMHD1,NM,15474,,
SBF1,NM,2972,,
SBF2,NM,30962,,
SCARB2,NM,5506,,
SCN10A,NM,6514,,
SCN11A,NM,14139,,
SCN1A,NM,6920,,
SCN4A,NM,334,,
SCN8A,NM,1330260,,
SCN9A,NM,2977,,
SCYL1,NM,20680,,
SELENON,NM,20451,,
SEPTIN9,NM,1113491,,
SERAC1,NM,32861,,
SERPINC1,NM,488,,
SERPIND1,NM,185,,
SERPINE1,NM,602,,
SERPINF2,NM,934,,
SETX,NM,15046,,
SGCA,NM,23,,
SGCB,NM,232,,
SGCD,NM,337,,
SGCE,NM,3919,,
SGCG,NM,231,,
SH3TC2,NM,24577,,
SIGMAR1,NM,5866,,
SIL1,NM,22464,,
SLC12A6,NM,5135,,
SLC12A6,NM,133647,,
SLC16A2,NM,6517,,
SLC19A3,NM,25243,,
SLC1A3,NM,4172,,
SLC1A4,NM,3038,,
SLC20A2,NM,6749,,
SLC25A19,NM,1126121,,
SLC25A4,NM,1151,,
SLC25A46,NM,138773,,
SLC2A1,NM,6516,,
SLC30A10,NM,18713,,
SLC39A14,NM,1128431,,
SLC45A2,NM,16180,,
SLC52A2,NM,24531,,
SLC52A3,NM,33409,,
SLC5A7,NM,21815,,
SLC6A3,NM,1044,,
SLC6A5,NM,4211,,
SLC6A8,NM,5629,,
SLFN14,NM,1129820,,
SLX4,NM,32444,,
SMAD4,NM,5359,,
SMCHD1,NM,15295,,
SMN1,NM,344,,
SNCA,NM,345,,
SNCB,NM,1001502,,
SNORD118,NR,33294,,
SNX14,NM,153816,,
SOD1,NM,454,,
SOX10,NM,6941,,
SPART,NM,15087,,
SPAST,NM,14946,,
SPEG,NM,5876,,
SPG11,NM,25137,,
SPG21,NM,16630,,
SPG7,NM,3119,,
SPR,NM,3124,,
SPTLC1,NM,6415,,
SPTLC2,NM,4863,,
SQSTM1,NM,3900,,
SRC,NM,198291,,
SS18L1,NM,198935,,
STAC3,NM,145064,,
STIM1,NM,3156,,
STUB1,NM,5861,,
STXBP2,NM,6949,,
SUCLA2,NM,3850,,
SUOX,NM,456,,
SURF1,NM,3172,,
SYNE1,NM,182961,,
SYNE1,NM,33071,,
SYNE2,NM,182914,,
SYNJ1,NM,3895,,
TAF1,NM,4606,,
TARDBP,NM,7375,,
TARS1,NM,152295,,
TBK1,NM,13254,,
TBXA2R,NM,1060,,
TBXAS1,NM,1130966,,
TBXAS1,NM,1061,,
TCAP,NM,3673,,
TECPR2,NM,14844,,
TFG,NM,6070,,
TFPI,NM,6287,,
TGM6,NM,198994,,
TH,NM,199292,,
THAP1,NM,18105,,
THBD,NM,361,,
THPO,NM,460,,
TIMM8A,NM,4085,,
TMEM240,NM,1114748,,
RXYLT1,NM,14254,,
TNNI2,NM,3282,,
TNNT1,NM,3283,,
TNNT3,NM,6757,,
TNPO3,NM,12470,,
TNXB,NM,1365276,,
TOP3A,NM,4618,,
TOR1A,NM,113,,
TPK1,NM,22445,,
TPM2,NM,3289,,
TPM2,NM,213674,,
TPM3,NM,152263,,
TPM4,NM,3290,,
TPP1,NM,391,,
TRAPPC11,NM,21942,,
TRDN,NM,6073,,
TREM2,NM,18965,,
TREX1,NM,33629,,
TRIM2,NM,15271,,
TRIM32,NM,12210,,
TRIP4,NM,16213,,
TRPA1,NM,7332,,
TRPM7,NM,17672,,
TRPV4,NM,21625,,
TTBK2,NM,173500,,
TTC19,NM,17775,,
TTN,NM,1267550,,
TTPA,NM,370,,
TTR,NM,371,,
TUBA4A,NM,6000,,
TUBB1,NM,30773,,
TUBB3,NM,6086,,
TUBB4A,NM,6087,,
TWNK,NM,21830,,
TYMP,NM,1257988,,
TYMP,NM,1257989,,
TYROBP,NM,3332,,
UBAP1,NM,16525,,
UBE2T,NM,14176,,
UBQLN2,NM,13444,,
UCHL1,NM,4181,,
UNC13D,NM,199242,,
UNC45B,NM,173167,,
UVSSA,NM,20894,,
VAC14,NM,18052,,
VAMP1,NM,14231,,
VAMP2,NM,14232,,
VAPB,NM,4738,,
VCP,NM,7126,,
VIPAS39,NM,1193315,,
VKORC1,NM,24006,,
VMA21,NM,1017980,,
VPS13A,NM,15186,,
VPS13A,NM,33305,,
VPS13C,NM,20821,,
VPS13D,NM,15378,,
VPS33B,NM,18668,,
VPS35,NM,18206,,
VPS37A,NM,152415,,
VRK1,NM,3384,,
VWF,NM,552,,
WARS1,NM,4184,,
WAS,NM,377,,
WASHC5,NM,14846,,
WDR45,NM,1029896,,
WDR45B,NM,19613,,
WDR48,NM,20839,,
WDR73,NM,32856,,
WFS1,NM,6005,,
WNK1,NM,18979,,
WNK1,NM,213655,,
WWOX,NM,16373,,
XK,NM,21083,,
XPA,NM,380,,
XPC,NM,4628,,
XPR1,NM,4736,,
XRCC1,NM,6297,,
XRCC4,NM,22406,,
YARS1,NM,3680,,
YY1,NM,3403,,
ZFYVE26,NM,15346,,
ZSWIM6,NM,20928,,
